J5,K5,L5,mean_WT-6mon-20,std_WT-6mon-20
2.5879653814507653,2.840411158583297,2.8255390546223125,2.7513051982187915,0.1416517443430045
2.589084325745346,3.6436506226106067,2.9729639497520077,3.0685662993693206,0.5337437358511016
3.0418499068493916,2.976548768934979,2.973106441880225,2.997168372554865,0.03873360342225701
2.9557020104055014,2.7504529216124443,2.545368759158879,2.7505078970589416,0.20516663114741807
2.347288510656747,1.8338291648438785,2.1364253413448964,2.1058476722818407,0.25809178664700283
1.8623533457389148,1.6684401256148271,1.8054256638562614,1.7787397117366677,0.09967291139080943
1.8735263323490519,1.759752594588348,1.82170849535377,1.8183291407637234,0.05696210037467281
1.403154608288758,1.4927616965184811,1.5587598166683563,1.484892040491865,0.07810053670236515
1.777963612938474,1.788668669775566,1.2722846161848034,1.6129722996329479,0.2950927359329921
0.9375720940041925,1.0288243867493072,0.8948315925682571,0.9537426911072523,0.06844438166214543
0.9866816154027118,1.1431239941664435,1.071783390837577,1.0671963334689107,0.0783219974834101
0.7669325972807692,0.7902683762289321,1.3091835406552137,0.9554615047216384,0.306554397576555
1.6117958429185544,1.134876111912864,1.0988645955060987,1.2818455167791722,0.286312103513093
0.9100343222032837,0.6990931278685552,1.0156759444023127,0.8749344648247172,0.16118365277567226
0.29483580057529063,0.4177056694992201,0.4168638928499879,0.3764684543081662,0.07069720477915287
0.5911738491639966,0.564038069777574,1.0115144961149873,0.7222421383521859,0.25088435653696056
0.4053002259652315,0.4832097567500952,0.47874014205543886,0.4557500415902552,0.04374794036670565
0.715930081144921,0.4025295467270808,0.6517552929830241,0.5900716402850087,0.1655555148612513
0.6251877224165181,0.6788977964895854,0.34443300244562863,0.5495061737839108,0.17961750253326897
0.6344406074661577,0.4990734194555188,0.4444084985793185,0.5259741751669984,0.09783040731480883
0.34212378068864796,0.6755830243695627,1.1139855540040722,0.7105641196874277,0.3871180789483178
0.8396630096529399,0.7573171409828383,0.8291063758143752,0.8086955088167178,0.04480695415284831
1.0167537783620413,0.8526261717951504,0.5662315487577981,0.81187049963833,0.22800951394976982
0.9359196560274166,0.6887984527221782,0.407539325403934,0.6774191447178429,0.2643739017668694
0.6096974962690768,0.883059294805677,1.0578190356389994,0.8501919422379176,0.22586151876853067
1.3875878657361496,1.8326415157543468,1.140023304387704,1.4534175619594,0.35097030979531013
1.4253863059951852,1.7277648009675584,1.0355550794638035,1.3962353954755156,0.3470243598426064
1.2709910171509977,2.0551634297052215,1.862515216868249,1.7295565545748228,0.4086442188039872
1.8068695074847678,2.008804821575853,2.203515074447532,2.006396467836051,0.19833375046523266
2.275153361307445,2.5024271666713656,2.4107608602826,2.396113796087137,0.1143426780266618
2.844826580707691,3.245866028300979,2.9275974286541104,3.0060966792209265,0.21173039197561178
3.537309790247862,3.6444922313631762,3.5505909345481554,3.577464318719731,0.05842647519305167
4.277298146165729,5.123189541354071,4.327404781312849,4.575964156277549,0.4745728450675954
5.317488616713049,5.773373553158733,4.588177154834996,5.226346441568926,0.5978317469969214
6.634748843403661,6.470121126683407,5.602674059591539,6.2358480098928695,0.5544885118586985
6.435812453731446,7.558552932799724,6.067566388757031,6.687310591762734,0.7766586790244457
8.55053436385772,8.414010509991407,7.3508361171852155,8.105126997011448,0.6567920060494044
9.92321348871901,9.474288447136065,8.316782454916298,9.238094796923791,0.8288520657460903
10.953133784044631,11.045343381041322,9.946425774220904,10.648300979768953,0.6095877751127474
12.92845818125404,11.438058789906208,10.665625884516055,11.677380951892102,1.1502429411664856
13.227608197151739,13.092294139244967,12.164050400192087,12.827984245529597,0.5789504182616065
15.23378655508028,14.542494063140682,13.559237883261641,14.445172833827534,0.8415057218038741
16.666718060934212,15.426936514390352,14.585005986406621,15.559553520577062,1.0471732154022733
17.625409413240085,16.685884801507555,16.153717716436194,16.821670643727945,0.7451828358335989
18.84147198232254,17.856795993709127,17.678578977077482,18.125615651036384,0.6263210371176485
19.500747002385104,19.95551705608955,18.430819618203667,19.295694558892777,0.7827582306884904
21.05013143855139,21.337222687475283,19.47214748403087,20.619833870019182,1.0042377092797066
22.537659081073045,22.114542889999324,20.588034725799744,21.74674556562404,1.025531538048403
23.68782382513394,22.944873237327602,21.934767739810564,22.85582160075737,0.8799142316465893
25.361836623219276,24.15030303336308,22.782380719537667,24.098173458706672,1.290517845353124
25.50525612232969,24.7405904245178,24.08001782095615,24.77528812260121,0.7132524108720201
25.806414725691702,26.15629343092819,25.553386236603405,25.838698131074434,0.3027473120268378
28.0212150771404,27.267891740083417,25.984355568793916,27.09115412867258,1.0298671281533252
