J16,K16,L16,mean_Q150delta-intron-6mon-39,std_Q150delta-intron-6mon-39
2.574148813226364,2.7533898566795565,2.07620541670207,2.4679146955359967,0.35086886048493043
3.153255312814559,3.369753087842648,3.2644867587655306,3.262498386474246,0.10826258294676348
3.1943091875228924,2.8721539083192233,3.061786240362669,3.0427497787349282,0.16191910366963133
3.0422780620429313,2.5569370214405756,2.3509283982333358,2.650047827238948,0.3549553577983107
2.016474682951875,2.205155661543424,1.7095078394854344,1.9770460613269112,0.25016525144420154
2.095952060996741,1.9779677344152,1.922188027111554,1.9987026075078316,0.0887182962507665
1.4720503373157052,1.6057662286968515,1.501640744655805,1.5264857702227872,0.07023490139191216
1.5293876346319233,1.536304752109232,1.4966026129587104,1.5207649998999553,0.02120913330554902
1.629056321208934,1.163082497708987,1.1795649032105264,1.3239012407094826,0.26440051964538447
1.0027818308036869,0.8188174919473131,1.081823286475865,0.9678075364089551,0.13494596303782394
1.2250611975326091,1.5812578268484319,1.1035509035296411,1.3032899759702274,0.24827561797034708
1.3685757474207634,0.39493031156198977,0.9099461757147514,0.8911507448991682,0.4870947647602188
0.9632370444617402,1.1402303606536195,1.3191331160342405,1.1408668403832,0.17794888948801899
1.072596528253824,0.9050477653503033,0.961919806667183,0.9798547000904367,0.08520206739981515
0.6364903679394531,0.38623924350025535,0.7162686167687277,0.5796660760694787,0.17219639053966312
0.9623298300813752,0.8470186852691695,0.7940235299973966,0.8677906817826471,0.08605439873333907
0.4467058487938587,0.6020827003879587,0.12187084617416886,0.39021979845199545,0.24503849012814125
0.5784520757972448,1.0367114452261201,0.8822414311925766,0.8324683174053137,0.2331489535884677
0.9492912192742795,0.4047439919667185,0.8562590921049735,0.7367647677819905,0.29127665689365295
0.901503909462967,0.7887291093908405,0.6674100543978532,0.7858810244172202,0.11707291290398625
1.4495752126456476,1.082306394088633,1.2290225982216918,1.2536347349853243,0.18486728815050033
0.7071346275001094,1.4064395612171663,1.1402466052674272,1.0846069313282343,0.35295704776544573
0.9923693012332764,1.3936445420441712,0.490033867276362,0.9586825701846031,0.45274624214359094
1.6235291582979963,1.5085461396774453,0.8124728165589361,1.3148493715114593,0.4388529661142187
1.5878393137991462,2.493918568880651,1.7007999873469264,1.9275192900089078,0.493757162755048
1.8195291636835846,2.3147459851571295,1.7671167172502622,1.9671306220303257,0.3021822242399714
1.9183307808824859,2.507244728452949,2.352832661847062,2.2594693903941656,0.3053562423679054
2.8976520879833387,3.1301948862740736,2.9266583211128494,2.984835098456754,0.1267179597603001
2.7766384825966806,3.6293087659699825,3.384690405997924,3.2635458848548624,0.4390542669069657
3.774626308770948,4.160667193323044,4.19837384912727,4.044555783740421,0.2345248154587398
4.579630767085289,4.814554526655254,5.0050966746270475,4.7997606561225306,0.21311840271099824
5.516761560646458,5.91335118788195,5.433626879354363,5.621246542627591,0.2563624126949306
6.290110917027955,7.019450152593134,6.482644393945523,6.597401821188871,0.3779694173664503
7.912743989919864,8.428875293247245,7.5940330316882605,7.978550771618456,0.42129360285835643
9.12162855503747,9.190578259510813,9.343692936172065,9.218633250240115,0.11365940005467506
9.988460267302948,10.865401932968922,10.232098532067239,10.361986910779704,0.4526697631150856
11.226156421046506,12.31760293284582,12.023296310607863,11.855685221500062,0.5646981316806791
12.453311815752704,13.254469044229115,13.109542378427467,12.939107746136429,0.42690654609426765
14.513130610060045,15.221121437265284,14.638738736290438,14.790996927871921,0.37775609926172904
16.026071138523847,16.623254192500657,16.20328044370554,16.28420192491001,0.30670525685014244
17.17770769477278,18.77546915559229,17.94339534996424,17.965524066776435,0.7991105564944306
18.776274469411366,19.82508640600227,19.614698004308202,19.40535295990728,0.5548609107653101
20.612859197710737,21.425492989935872,20.644016586733375,20.894122924793326,0.4604435962415707
22.22014945822586,22.64197220790352,21.86435900377118,22.24216022330019,0.38927359163525216
22.95871863146183,23.420226685978715,22.8226638665245,23.06720306132168,0.3132043812593149
24.275754811664363,24.8252370347937,24.408940009015932,24.50331061849133,0.28663921108836254
25.33866474342515,26.75399853620444,25.359957473989837,25.817540251206477,0.811066541505517
26.826146918279086,26.667640434712037,25.965625490350842,26.486470947780656,0.45797496572100027
27.361098888014723,28.088751265425106,28.28395241688882,27.911267523442884,0.48635379914199545
27.185906634804187,28.981946590883652,28.32011094106245,28.162654722250096,0.9083139471518062
29.574723361203624,29.059637724167864,28.783772333581442,29.139377806317643,0.4014595154559006
30.005569459210907,30.99644797825864,29.21720865688377,30.07307536478444,0.8915385163564747
31.0515887908563,32.25952053128849,30.270976296039237,31.194028539394676,1.0018951319167655
30.989297908398033,31.59976988472648,31.314068642188154,31.301045478437555,0.30544428389830186
32.65313213934658,33.47460719144851,33.00959290980655,33.04577741353388,0.41193118847565136
32.381412215638484,33.361649654544415,33.38832219726902,33.04379468915064,0.5737950523016994
32.869895362125504,34.2843279037793,32.87207137541887,33.342098213774555,0.8159955730904961
33.84675362843946,34.70953835339853,35.171083830737174,34.575791937525054,0.672219234326665
34.576471365352916,34.75753509258779,35.0752950907903,34.80310051624367,0.2525142236380205
34.625365622118544,34.71502807563516,35.230429824488304,34.856941174080674,0.3265427504633079
34.57396707262418,36.90725477157422,35.374076389192204,35.61843274446354,1.1856814044206883
34.908475648789384,36.41299928094084,35.464619089777806,35.59536467316934,0.7607355950708798
36.024880462773794,35.7711730864353,35.7577970410235,35.85128353007753,0.15048804247805805
36.567874250425845,37.10447164208575,36.668519324946445,36.78028840581935,0.2852252368978467
37.06480456418712,37.65498101676583,36.49979292818204,37.07319283637833,0.5776397253775348
36.48674131071794,36.879822581716006,36.4361338248984,36.60089923911078,0.2428764144432256
37.16553542501956,38.50910484073494,36.77949650083832,37.484712255530944,0.9079050827104417
36.61636976615978,36.84748369564021,37.13161158514629,36.86515501564876,0.25807506596195107
36.87493255911717,37.70650007511447,38.31761421869458,37.63301561764208,0.724142642604181
37.9712548139738,38.33089462447068,38.60747344846753,38.30320762897067,0.3190117004266924
37.53145440543582,38.076187687752025,37.90981066789757,37.83915092036181,0.2791562056575332
38.395851965406386,38.917806510154875,38.6580314559876,38.65722997718295,0.26097819539591105
38.32760211462925,38.273040524039565,38.841920575669384,38.4808544047794,0.3138802743288999
38.6109577590318,38.61399519485202,38.7549610534379,38.65997133577391,0.08227752640001126
38.146019898002244,39.08156448884198,39.42918334819022,38.88558924501148,0.6636503839525714
39.83180646668909,38.61641979569486,39.33215668724735,39.2601276498771,0.6108865088344736
38.67606260638642,39.593413393697254,38.85872337571406,39.042733125265904,0.4855695703939396
39.23884508194494,39.858277300370524,39.44295460090055,39.51335899440534,0.3156606600045272
39.36755571972816,39.11913011355586,39.9513666244109,39.479350819231634,0.4272329700582433
38.75288932551537,39.359220161307555,39.62100150978106,39.24437033220133,0.44530613464439744
38.693274322121475,39.24856654364075,39.47159517436395,39.137812013375395,0.4008063893447651
40.90036447384347,39.47502818116001,39.993953122012584,40.12311525900535,0.721393117540331
38.971311471967205,39.524175669611886,40.20126657586957,39.565584572482884,0.6160222498673266
39.45256905445031,40.11522544031562,39.68550172073668,39.75109873850087,0.3361630526793293
40.66943146888331,39.365338197757474,39.860956090905695,39.965241919182155,0.658271574225564
39.69309961330099,39.64728744930304,39.846398365702754,39.72892847610226,0.10427880808010596
