A21,B21,C21,mean_HdhQ150-NB-64,std_HdhQ150-NB-64
2.917481492819101,2.9917056042008694,2.747050496515708,2.8854125311785594,0.1254406001047364
2.9349252209697965,3.411087688265931,3.1683182724526455,3.1714437272294576,0.2380966193923321
2.912653972410628,2.7670255229532743,3.005775089026879,2.895151528130261,0.12033324765801084
2.415853926527708,2.5117505844004984,2.1217623586271572,2.3497889565184544,0.20321451537034038
2.2154095790140627,1.778711429924955,2.249321197367337,2.081147402102118,0.262465497570431
1.9772476088518884,2.131468287035556,1.90176118944408,2.003492361777175,0.11708086078884535
2.0189908175785436,1.1026058211365146,1.420070003129859,1.5138888806149724,0.46534057608964147
1.8154122952031213,1.1723920122084261,0.9368228450990446,1.308209050836864,0.4547686845473146
1.3276108211863817,1.217048475340673,1.6069219922760158,1.3838604296010235,0.20093121618350812
1.4893861489724907,1.2706873581985265,0.652184305644954,1.137419270938657,0.43422001212425076
1.1307023874467437,0.5832448510890464,0.5279814194880568,0.7473095526746155,0.33317572095522735
0.8998823000415163,1.1385277376641412,1.009374976085144,1.0159283379302673,0.11945761230716265
1.1534477571625232,0.6059884600042654,0.4416138424586136,0.7336833532084674,0.37270144867373084
0.7815551167630348,0.778797973315612,0.3600158880899699,0.6401229927228723,0.2425837855450528
0.7416525176832293,0.6850222756520223,0.474747948354218,0.6338075805631566,0.14062973023852518
0.6114321165489404,0.9612767200699037,0.6334287306160323,0.7353791890782921,0.19594191394054447
0.8291493897630717,0.35588490570069164,0.44944149752501317,0.5448252643295922,0.2506359215995992
0.9361681722988435,0.684807033573385,0.44749211724742544,0.6894891077065514,0.24437166991858017
0.6374946836144322,0.4981259131870342,0.6576548620901146,0.5977584862971936,0.08687114260475855
0.4710924792642212,1.0933262225636864,1.0888715687421773,0.8844300901900283,0.3579678008418603
0.814270883896121,1.002953498874736,0.9821742254867385,0.9331328694191985,0.10346049126357121
0.4031273374392309,0.8207634047524741,1.0179301352283723,0.7472736258066924,0.31392065995958895
1.0748582127339068,1.1941663287082365,1.1237535698562602,1.1309260370994678,0.059976577504073945
1.6924823922698249,1.4408624284286042,1.709447917358146,1.6142642460188583,0.1504097736787189
1.2011945301544396,2.18528071820883,1.4026400591351642,1.5963717691661445,0.519860931387906
1.8384661860878861,1.960913701834709,1.9390507211807868,1.9128102030344607,0.06530522278181783
2.0175495683318054,3.082263145828792,2.673306436249455,2.5910397168033508,0.5371029792999903
2.475201268833133,3.607458978141774,3.049285504015073,3.04398191699666,0.5661474861718095
2.601060512169832,4.416812255045953,3.364049909739001,3.460640892318262,0.9117214275074041
3.7879615262858386,5.058899067253861,4.8147644580458575,4.553875017195186,0.6744390510053472
4.0994292337261555,5.7778947177979125,5.028212900752576,4.968512284092215,0.8408238329324876
4.860763072016287,7.158403035813578,6.084855668972828,6.034673925600898,1.1496416860637444
5.70594990540462,8.993232503502337,7.1298177414327855,7.27633338344658,1.6485317239759312
7.189124310056188,10.491089225706567,8.344760054646857,8.674991196803203,1.6755693156309341
7.881176405374919,11.265601004668996,9.498864819908153,9.548547409984023,1.6927592081847327
8.30863093439661,12.844545190057572,11.43873828397437,10.863971469476184,2.3219382424955612
10.545828593001572,14.532457597335268,13.003471156138652,12.69391911549183,2.011260687715575
11.851568695549835,15.798814959321636,14.126064783203379,13.925482812691618,1.9812529146693756
13.613712041314432,17.297687926614223,16.984947547648176,15.965449171858944,2.042658141869377
14.867336417505111,19.786033394325102,18.431672309864616,17.695014040564946,2.540746748839841
15.833529393993137,20.852590186713414,18.64539727222434,18.443838950976964,2.515593792308988
17.48260506971376,22.277957421153737,20.27560038859422,20.012054293153906,2.408514781339655
20.075116888489998,24.10675624806086,21.827942309057335,22.003271815202734,2.02153018978301
20.213879794636565,25.157492537191175,23.326157823541784,22.899176718456506,2.4993121824137856
21.89130429145717,26.114321078592923,24.938406550779828,24.31467730694331,2.179505981483017
22.752623203669923,26.60831980465121,25.57807202625798,24.97967167819304,1.9962868787145411
23.261443218358625,28.036266932847457,27.22419854241227,26.17396956453945,2.5547937403211387
24.686729701347087,28.13028999360775,28.21365226126834,27.010223985407723,2.0126367240424248
26.437564860235153,29.911943830902487,28.274256407253656,28.207921699463768,1.7381390991652623
27.32017293250562,31.326649344211422,29.52971434941255,29.392178875376533,2.0067760997063133
27.269564618559944,31.658618082528676,29.632822135416532,29.520334945501716,2.1966878711631246
28.768704464571393,31.51326071344797,30.382824669626242,30.221596615881868,1.3793633005113324
29.66931413805669,31.903454568097324,31.153201953710223,30.90865688662141,1.1369685935256253
30.089089311425898,32.7605415824759,33.186859297270566,32.012163397057456,1.6790167219559409
30.63289668473283,33.358292917271584,32.88477874341772,32.29198944847405,1.4561921292308824
31.575451913957565,34.326673385292025,34.44566612421877,33.44926380782278,1.6238590080953448
31.99980324916342,34.50920152167835,33.84953610646304,33.452846959101606,1.3008810984294397
32.44037049823339,35.12091112749771,33.568267939802666,33.70984985517793,1.345867227981715
32.83806540472779,35.04751433639156,34.87183237082904,34.2524707039828,1.2280565138365804
33.45515082133699,35.93579244704455,36.0676751218183,35.15287279673328,1.4717483444135318
33.79683475538018,37.043961300235736,36.108409329820695,35.64973512847887,1.6714497350530204
34.54200452129764,36.383013954100804,35.375966487906744,35.43366165443506,0.9218597952498541
34.36053063199813,35.91582972066222,35.14812706622433,35.14149580629489,0.7776707491001719
35.105732698912036,36.190275417420864,36.275775107407206,35.85726107458004,0.6522451408961025
35.21958926378909,37.27451844052154,36.851736235937,36.44861464674921,1.085156091121707
34.83508310108457,37.46021954468072,37.0982908527721,36.464531166179135,1.4226994911565034
36.10514474572567,37.20818159559678,36.890106472154955,36.73447760449246,0.56774803511842
35.24735857272925,37.831361821911585,36.28131622239267,36.45334553901117,1.3005628636395823
36.96399693473889,36.79593764472545,37.40992299562018,37.056619191694836,0.31729901456046433
36.392186123174724,38.37139048276196,38.77955818977213,37.84771159856961,1.2769361872874097
36.772609987711206,37.862363153798,37.93770554196808,37.52422622782576,0.6520079356624032
37.53803102925011,37.87276072736173,38.21331958317852,37.87470377993012,0.33764847009374066
37.4055605241319,37.877235503517184,38.647544278828924,37.97678010215933,0.6269471724730481
37.284424734732866,38.73852186708927,37.77902006560309,37.93398888914174,0.7393315357696391
37.50050832290376,38.99045622900257,37.72158748218482,38.07085067803038,0.8040365512221723
37.292359358472275,38.51387658134921,39.01549143696134,38.27390912559427,0.8862755355111829
37.91410740061045,38.44286318674669,39.55165029531775,38.63620696089163,0.8357170838579578
38.03287958879714,39.132150452880644,39.071545303534286,38.745525115070684,0.6179125994993993
38.468645399268134,38.757477206801724,40.00663117574631,39.07758459393872,0.8174360015542801
38.080314613639445,38.146034915675706,38.600239530252225,38.275529686522454,0.2831203833816831
37.8983004585525,38.69633667829928,38.99608979888944,38.530242311913746,0.5674291698953421
38.97008542387502,39.77961883229587,39.201074549016404,39.31692626839577,0.417015947536463
39.23818852714347,38.39861900509603,39.103451967373786,38.91341983320443,0.4508917881271097
39.56372633615219,40.46994914988263,39.59790084401633,39.877192110017056,0.5136269614025261
38.38644354558072,39.98621907178961,38.08607701155279,38.81957987630771,1.021440293417579
39.265099889011054,40.094470814838154,39.23379813217978,39.53112294534299,0.4881245399933622
39.749016259940774,38.79632648864611,38.45058381783492,38.99864218880726,0.6724436285496495
39.0011788822806,39.855228736423115,39.86746472526511,39.574624114656274,0.496655822231583
39.36242557846014,39.92616979160855,39.85452862435562,39.714374664808105,0.3068944993759513
39.904622829123625,40.2305125065565,39.72748990977703,39.95420841515239,0.25515089843865496
39.317765365344925,39.782851450376185,39.680883001896866,39.59383327253932,0.24445757946593075
38.36824786437486,39.507876437694904,39.63645646965408,39.17086025724128,0.6980495656052859
39.219993987725545,40.89079783959741,38.75581306160186,39.62220162964161,1.1228838947014665
39.939114030665806,39.95840338143124,38.94561792578122,39.614378445959424,0.5792438992125869
39.723689007375164,40.22765432080249,40.0011194503003,39.98415425949265,0.2524106229120152
40.579777041519485,39.993608491834,40.190939774605184,40.25477510265289,0.29825258421397466
39.45003477409562,40.69381919641533,40.6024575011464,40.24877049055245,0.693232138896097
40.44767358852824,39.705930818057396,39.805433105357494,39.986345837314374,0.402607310942707
39.611632777086584,39.35384925088903,39.752356938060004,39.572612988678536,0.20209899084148517
39.943056905725825,39.93229504704722,40.623295779281456,40.16621591068483,0.3958793491807621
38.74327953711594,39.50465260771998,38.99459694495752,39.080843029931145,0.3879446204553122
40.50403676150635,40.04624644166881,40.47920461314582,40.34316260544032,0.2574365264092178
39.43477352236087,39.87755651454904,40.00715225008898,39.773160762332964,0.3001303163618803
41.00380416609731,40.0665077874436,39.548772474650384,40.20636147606376,0.7375287088949323
40.33237378961384,39.755196131760364,40.88943937683009,40.3256697660681,0.5671513402041398
39.643573605904386,39.66433341216823,40.271975896646865,39.859960971573166,0.35696633770097314
41.04558577945109,40.05097339443464,39.79587160779936,40.29747692722837,0.6603176292259872
39.28885936459479,40.83129569793539,39.92304927217748,40.01440144490255,0.7752653579249429
39.73858688191599,40.31398829679884,40.07065175805633,40.04107564559039,0.2888386346798922
39.6818497261072,39.6949987430262,40.19169021778832,39.85617956230724,0.2906351219613557
40.46570424686522,39.952384425462775,40.670389860854904,40.362826177727634,0.36989305771434683
40.09195812882729,40.370285469605506,40.067826832028516,40.1766901434871,0.16809206582247033
41.79224489634997,40.59478614297505,40.02994668660671,40.805659241977246,0.8998746262275448
39.708580595676786,40.39869422285949,40.37208124874244,40.15978535575957,0.3909812837449666
40.2041337327132,39.69633542619286,40.17372310742971,40.024730755445255,0.2848048818728815
41.205093046396506,40.18909730147594,40.102709522903375,40.49896662359194,0.613046984992794
40.154730962868854,39.775807343883045,41.31740699130959,40.4159817660205,0.8033189620860103
41.453393159967824,40.138520596493,40.91182739292539,40.83458038312874,0.6608311357197125
41.26863579878775,40.67093288259825,40.22387393021445,40.721147537200146,0.5241879187455415
40.36374608440891,40.14052466525321,40.754608421691636,40.41962639045125,0.3108322239294396
40.12633503830696,39.76947689966187,41.12124273059627,40.33901822285503,0.7005307403409053
