G2,H2,I2,mean_HdhQ150-1mon-69,std_HdhQ150-1mon-69
2.686698685754629,2.4583060873113545,2.8120242016271733,2.6523429915643852,0.17934425385624933
2.833445561623784,3.051458781164512,2.742599241114584,2.8758345279676267,0.1587330218345818
2.9946780228171708,2.5994935002642485,3.0965607995040583,2.896910774195159,0.2625600905901891
2.93454258686481,2.633629834031241,3.2709356339369577,2.9463693516110028,0.3188174633260194
1.6819549105852476,1.8995466053228591,2.5864514989010474,2.055984338269718,0.4721049595014809
1.6091248206961437,2.1175545847030164,2.0173904936723783,1.9146899663571795,0.2693246274760925
1.624816413417805,1.4449047123269265,1.5799669110479622,1.5498960122642311,0.09364960898262971
1.1933879558528853,1.3845773353913677,1.2952748607612206,1.2910800506684912,0.09566369235955209
1.3222315491897478,1.728836186287528,1.381882606618591,1.4776501140319558,0.21956865517300286
0.9026685077982327,0.6793025636784622,1.079990682440088,0.8873205846389277,0.20078448941131044
1.1242966000286128,1.1631283596012225,1.0107798115018616,1.0994015903772323,0.07916654063524924
0.7794968871579231,0.7637961815771056,0.8210419445090014,0.7881116710813433,0.029579219393843337
0.9820807251420829,1.5703768486874092,1.4701829285031254,1.3408801674442057,0.31474193438070736
-0.22075950173922393,0.8212303913437866,0.8909651093752656,0.49714533299327607,0.622700768045099
0.5209911428499184,0.7107537065559747,0.347617697326929,0.526454182244274,0.18162963386867134
0.21432496353843022,1.0219532503319388,0.9534270529065584,0.7299017555923091,0.4478152870456993
0.4500072302747961,0.8116535518617721,0.3751499638060255,0.5456035819808646,0.23342631051579854
0.33640242971127177,0.30626112788467114,0.745553531368736,0.462739029654893,0.2453877672250342
0.41514773451849646,0.7106083916378481,0.8286410664332609,0.6514657308632018,0.2129966540279965
0.09610998148734443,0.9376242236246853,0.5857169746321769,0.5398170599147355,0.4226306384519432
0.7585459265698724,0.8009254889625114,0.5874272130984323,0.715632876210272,0.11303329539391394
1.195104790518896,1.290437276742678,1.3026704871308044,1.2627375181307927,0.058890171015788396
0.1844471614007303,1.0677212792162838,0.9250086879899422,0.7257257095356522,0.47416091248322106
0.9777569748827569,1.4392707144252899,1.2346594269858746,1.2172290387646403,0.23125007410115664
