G1,H1,I1,mean_WT-delta-intron-1mon-52,std_WT-delta-intron-1mon-52
2.728033584854058,2.342151590261577,3.262152335174361,2.777445836763332,0.4619864940007215
3.0419202205776172,2.801110924481733,2.545697131034537,2.7962427586979626,0.24814736131479143
2.688536576003661,2.548676933833089,2.739215306189453,2.6588096053420673,0.09868630818705057
2.469007783199893,2.737588548782769,2.7716400142916706,2.6594121154247774,0.16577162867429748
2.067313072755628,1.985556638177522,2.405360977327962,2.152743562753704,0.2225594241059406
1.4634674521896562,1.5545609034489696,1.8469326435847502,1.621653666407792,0.20034337369627567
1.5038716082789412,2.008374967969137,1.749615973641956,1.7539541832966783,0.2522796563972808
1.6534968338206966,1.52775460061963,2.0395969658754964,1.7402828001052744,0.2667292722511739
1.1548490262733526,1.544405787738308,1.3588009030579122,1.352685239023191,0.1948503749308818
0.8780536789490175,1.4713891200336768,1.1404728499214616,1.1633052163013853,0.297325956027492
0.897073366075207,1.2945446255998854,0.7619907523895934,0.9845362480215618,0.2768406107430636
0.5931409379621594,1.1921250992812609,1.048796362192351,0.9446874664785905,0.31276908895036426
0.6393621180676174,0.8260404162421329,0.8555041682737043,0.7736355675278181,0.11721368347339103
0.23897752791986115,0.7248197845689559,0.579723846393097,0.514507052960638,0.24940047553218547
0.5980226523029234,0.8157746056899543,0.7020306081879203,0.7052759553935993,0.10891224683124931
0.6435107691354723,0.6451490030652328,0.9086470361606371,0.7324356027871142,0.15260577607438658
0.6652124789143427,0.8118867177171923,0.3170584181146478,0.5980525382487276,0.25415862122804944
0.1108885398019903,1.275233500397238,0.32449073445306303,0.5702042582174304,0.6198436485408347
0.7915981582140544,0.798874218547972,0.7616621539639366,0.784044843575321,0.01972242021597211
0.46718488412834547,0.7217962143846339,0.7223020110634059,0.6370943698587951,0.14714614831336723
0.7107718767739208,0.7626854354287531,1.1806230578399384,0.8846934566808707,0.25759367427146923
0.6409970591655959,1.3016100584624248,1.2220904798263084,1.054899199151443,0.3606481345581372
0.5400555860638806,1.0383181828115178,1.1781841782916598,0.9188526490556862,0.3354191935046743
