J14,K14,L14,mean_Q150delta-intron-6mon-37,std_Q150delta-intron-6mon-37
2.901698013045124,2.805985491756109,2.7287069150819714,2.8121301399610683,0.08665908792386587
2.9230112203809453,3.258174708302011,3.215887446300035,3.132357791660997,0.18252819867609862
3.1118780061895017,3.1320351411433287,2.8346846301394573,3.0261992591574294,0.16616247280389537
2.943573673710324,2.769114398925397,3.4862431768503983,3.066310416495373,0.373987502537403
2.776625609183021,2.484939724161856,2.3378982133545927,2.53315451556649,0.22330233215361384
2.0005541102556594,2.7211257856329154,1.9012770555341878,2.207652317140921,0.44744299696435297
2.0235637127096346,2.0076089938972137,1.7112455555813029,1.9141394207293836,0.1758922358978405
1.5213159547166715,1.8587871896112103,1.3951385739687994,1.591747239432227,0.23971427595534178
2.004461798198925,1.7817197038687453,1.5818037883541982,1.789328430140623,0.21143170967971317
1.6532188959721015,0.9805175766909169,2.173802974168682,1.6025131489439002,0.5982564788990445
1.551250906425772,1.6953524911770421,1.0609120853999658,1.43583849433426,0.3325938600894957
0.9976021948613452,1.3410484364598458,1.127476328293029,1.1553756532047401,0.1734145595529131
0.9568951266015637,1.0116416837421145,1.2198225754991152,1.0627864619475977,0.13872473499419524
0.33671319726832993,0.6143077623673553,0.9214183254411793,0.6241464283589548,0.29247670204527015
0.5861926888502402,0.9423033938985205,0.7085332791738133,0.7456764539741915,0.1809376139396792
0.8837208472996471,1.1236135622215184,1.0731538604655328,1.0268294233288995,0.1264776414041865
0.9107093776333725,1.078723448175312,0.616912228015223,0.8687816846079691,0.23374312684710516
1.0528492287424793,0.7987176746673051,0.5242274215730983,0.791931441660961,0.26437623469700877
1.23319733409585,0.3308391015947233,0.7243382222872472,0.7627915526592735,0.45240644215480014
0.11703984291080473,0.7335265066032902,1.0989148738115337,0.6498270744418763,0.496259851574439
1.0834404553554935,0.8692929292937159,0.829457856577749,0.9273970804089862,0.13659743556558376
0.8953858815923538,0.929800603169197,0.8286408634777778,0.8846091160797762,0.05143371695487053
0.12434912288099849,1.1407348966567339,0.45694897803103557,0.5740109991895893,0.5182061827899387
0.46558902681319403,0.5203284310764295,1.0015220569557042,0.6624798382817759,0.29489204826050897
0.7882046460577078,0.9473794287516571,0.7557557189386387,0.8304465979160013,0.10255826838058822
0.9730063852468626,1.3961735540443876,0.7967356865853403,1.0553052086255301,0.308076713633305
0.6587724815558307,0.7476441475291119,0.674962523996748,0.6937930510272302,0.04733375977461443
1.0591613236773953,1.2542905940435427,1.4417981789119012,1.2517500322109465,0.19133107846546255
0.7128310551420219,1.6239837982537486,1.0579794343999362,1.131598095931902,0.4600158810457794
1.5433026318931202,1.5915198618178898,1.5512697424964887,1.5620307454024995,0.025847141100359735
