D12,E12,F12,mean_HdhQ150-2w-67,std_HdhQ150-2w-67
3.2275061259776807,2.9159002037699713,2.74015208805906,2.961186139268904,0.24681288769917623
2.9891602495237866,3.042464272687958,3.2489415004973945,3.0935220075697134,0.13721058198183866
2.852290733484793,2.5473094174168054,3.4136184662814393,2.937739539061013,0.43943027412433544
2.9747302607936237,2.5912717625382156,3.240004031156761,2.9353353514962,0.32615542038368045
2.271363266401356,2.7057842523953703,2.63897845190477,2.5387086569004986,0.23392503523704297
2.0592631413152716,1.9608039493575284,2.394728678771085,2.138265256481295,0.22749432597250915
1.5873472694970383,2.2196062883562333,1.8107069841665064,1.8725535140065928,0.32063470129127236
1.5819418210548626,1.6869040811526144,1.885226419179573,1.7180241071290165,0.154018599128468
1.6060585108019498,1.6764133909137522,1.7408726004850494,1.6744481674002507,0.06742852713699314
1.8325497553210508,1.725048560340476,1.290109556612218,1.6159026240912482,0.2872193740742603
1.3642660350915772,1.3939323346252266,1.5192157188407873,1.425804696185864,0.08224497976827548
0.8655993649908702,0.8228490209053702,1.1828910870550258,0.9571131576504222,0.1966943136812293
1.120921526818558,0.8753618254588473,1.1974904609113568,1.0645912710629206,0.1682900404948123
1.183834112952271,1.0523795738499244,1.1681404403640752,1.1347847090554235,0.07179503862387573
0.7873625836055853,1.050871690900391,0.6462352930016989,0.8281565225025584,0.20537955768321892
1.2643393558579408,0.8746047858544629,0.9812252290749109,1.0400564569291049,0.20141770972800035
0.7269869435539935,0.9677450716241786,0.8044021849091656,0.8330447333624459,0.12290815979579545
1.0499068933598972,1.0149049122762792,0.8536940211324342,0.9728352755895369,0.10465306280827882
1.1683474269395149,0.9044870346518654,0.803045727928018,0.9586267298397995,0.1885726989027133
1.136662536365811,0.8310643978012957,0.9921165328946232,0.9866144890205767,0.15287334606993502
1.2002766744276088,1.1179691588142506,1.4742459850892762,1.2641639394437119,0.18653278856163474
0.9723245639058837,1.2677259991351923,1.6977732063512676,1.3126079231307812,0.36480093685820214
1.1234769668359887,1.4536101625734332,1.0223101903203498,1.1997991065765905,0.22555203008910296
1.3403935457303657,1.4455549767964018,1.4525463495978945,1.412831624041554,0.06283053569305093
1.940262175060115,1.8219367214965798,2.125975499517151,1.962724798691282,0.153259002118496
2.185452382929117,2.1961216290528727,2.196138540487138,2.1925708508230426,0.006164779831169074
2.757542735588169,2.9140004858093214,2.4266850500936816,2.6994094238303905,0.2488045315576592
3.048778050410774,3.71618283835567,3.2070558167659766,3.3240055685108065,0.34873373950311426
4.160577774014757,3.882318284115458,3.8687953185166943,3.970563792215636,0.16469578807308266
4.382091642065072,4.849519988261155,4.53782384369816,4.589811824674796,0.23801129664665382
4.588317279804507,6.074710446760588,5.305420457404254,5.322816061323116,0.7433492563863966
6.24114768124069,7.300475672882002,6.4661478306035205,6.669257061575404,0.5581074880775175
7.441057680692778,8.803451605948625,7.388201783093169,7.8775703565781905,0.8022720875298993
8.18048968452813,9.178047248250763,8.530557803951963,8.629698245576952,0.5061145064204912
10.126493829698955,11.01552622116863,10.291046317977896,10.47768878961516,0.47299176254425657
11.961386127487964,12.50671178411203,10.945479939167829,11.804525950255941,0.792347811770762
13.164784686498024,14.905452189856156,12.563960264878055,13.544732380410744,1.21610702500504
15.080260601933224,15.812187798353458,14.090484856668512,14.99431108565173,0.8640635071355668
16.091711240086916,18.382683931793956,15.685568809019685,16.71998799363352,1.4541857706839632
17.325738033816343,18.90519234394887,17.344944252932137,17.858624876899118,0.9064048858144919
18.390078361476522,20.17018481920533,18.581439001145228,19.047234060609025,0.9771993288360425
20.836158533473846,21.962775615892774,20.495954099672993,21.098296083013203,0.767742412056413
22.173992125064434,23.582286467078358,21.556198676340014,22.437492422827603,1.038427772710122
23.420150161421045,25.029322226913838,22.921853108643546,23.79044183232614,1.101450617264345
23.886548642599966,25.827708344649803,24.67279527925654,24.79568408883544,0.9763971998399741
25.75280664806276,26.637922257654782,25.592139613031268,25.9942895062496,0.5631614449227714
26.982142956323706,28.06607300859973,25.878613275796624,26.975609746906684,1.0937445006845627
27.75048128045575,29.97317511503609,27.399371344942196,28.37434258014468,1.3957143879299059
29.012999183987116,30.288591516517826,28.60741609813453,29.303002266213156,0.8773049855207234
29.891634480248797,30.469385183151743,29.725571574709086,30.028863746036546,0.3904338286670411
30.82753902026976,30.354479419495423,29.423625113307377,30.20188118435752,0.7142886185331515
30.610881765542718,32.57696303686395,31.129348391413288,31.439064397939987,1.0189759049576015
32.35413246336735,33.36575110328723,32.29204068811464,32.6706414182564,0.6027826746068993
32.22875969449437,33.33568004456144,32.42605534330058,32.66349836078547,0.5904257406841241
33.67111005365594,33.446641713597586,32.846957999634895,33.32156992229614,0.42607378090101944
34.29385445508492,34.348100390179546,34.21195955207506,34.28463813244651,0.06853675949575952
34.67479635338237,33.259649916527,34.36560968791998,34.10001865260978,0.7440186879131231
34.980504447298465,36.01518373522993,33.69433227520346,34.89667348591062,1.1626945417615768
34.75391005410618,35.39995730670396,34.34223435301986,34.83203390461,0.5331716081157277
35.02839830718244,35.594212650379525,35.829193508606835,35.48393482205626,0.41162985584242284
36.89358927204741,36.63625826785672,35.75249815568371,36.427448565195945,0.5985176295690856
35.67179206620954,35.68087985296833,35.15100177735228,35.50122456551005,0.30333586661619205
36.089360445822024,37.114841496681194,36.89597618566409,36.70005937605577,0.5400836913230525
37.40608789669641,37.09037452068466,36.62606360108172,37.040842006154264,0.39236408848680093
36.517215768098566,36.62876712114253,37.64930884845199,36.93176391256436,0.6239102318082047
36.949206001321045,37.92156946598856,36.9501973994383,37.27365762224931,0.5611083350483762
36.79865672876332,38.83927099465748,38.10474869503322,37.91422547281801,1.0335622715613921
37.21266310896571,37.84285973560173,37.067118451415595,37.374213765327674,0.41233190020410126
37.53971653908814,37.37626777202372,38.23765455765038,37.71787962292075,0.45749684364333554
37.35952140637062,39.301799443756536,38.72224290635088,38.461187918826006,0.9971074533427329
38.67915068838991,39.07389880037968,38.64733028375439,38.80012659084133,0.23762691677170286
38.83974765803983,38.67225550461108,39.21069385828457,38.90756567364516,0.27555113428751915
38.13366208463837,38.799464400001575,38.86591569169417,38.599680725444706,0.4049493471116394
39.538839897133435,38.05971331193417,38.566659947271894,38.72173771877983,0.7516586327400975
38.62667532287175,39.223021471220505,39.0645653315627,38.97142070855165,0.3088917654446331
38.97006515350554,39.05274712141821,38.92592553999974,38.982912604974494,0.064379508660021
38.64969287805225,40.5955830320717,38.81562986406911,39.35363525806435,1.0787536678285015
39.15509520704391,39.807018624415605,38.92713205538112,39.29641529561354,0.4566493393916343
40.156179184874595,40.19415519875858,39.82258109611503,40.0576384932494,0.20444933203196924
39.40234830715317,39.33516934773486,39.82329120798116,39.52026962095639,0.2645653318168979
39.259459379190645,39.910759180434376,39.53227003425086,39.567496197958626,0.3270757094805508
39.90129610691519,39.507324356982984,40.4445780398007,39.951066167899626,0.4706048349907172
40.237927017151705,39.903146108266455,40.49988975553083,40.21365429364966,0.29911138220945765
39.72918489300197,40.880686602234576,40.55054818490889,40.38680656004848,0.5929566058113767
38.82729263739266,39.37753288415685,39.395734884638486,39.20018680206267,0.3230640365919569
