G20,H20,I20,mean_HdhQ150-1.5mon-75,std_HdhQ150-1.5mon-75
2.7317086229472616,3.0128941507822615,3.0168224996786974,2.920475091136074,0.16348835620808397
3.536006615298077,3.351948530726269,3.1580393895575494,3.3486648451939653,0.18900500754346175
3.1070665438526066,3.028882504747565,3.055284093427611,3.0637443806759275,0.039772708456147325
3.016993079316999,2.3994027528788435,2.602262109860231,2.6728859806853578,0.31479398211408044
2.383072343566384,2.0845040542219624,1.996896571311242,2.1548243230331963,0.20246391511446418
1.7348114754512665,1.8617874434807509,2.006336106874752,1.8676450086022562,0.135857056015797
1.8753578206859702,1.7677967963564196,1.5049781926033796,1.7160442698819232,0.19053611264539758
1.6500535840039035,1.336890748056406,1.709469213037422,1.5654711816992437,0.20017321305964744
1.1822966255935061,1.7247665968565666,1.4759249661739198,1.460996062874664,0.2715429460432094
1.1127469732378068,1.3720864051438753,1.3152663606374344,1.266699913006372,0.1363204317480183
1.145678611120719,1.478413303222458,1.4513203619032462,1.3584707587488076,0.18478062787116598
0.7517744875679979,0.8799162007172392,1.160814151837119,0.9308349467074519,0.2092197427497239
1.314394073511776,0.6647448510778721,0.41561395451409494,0.7982509597012477,0.46402514625415386
0.7256373797042024,1.0920768694502248,0.7156761103001206,0.8444634531515159,0.21449734187251235
0.8506752020827962,0.14789727369195416,0.6764231110767288,0.5583318622838264,0.36596907169791176
1.1710604745145343,0.6717830000195215,0.7615620527181122,0.8681351757507226,0.2661538503370231
1.0480058143716418,0.4542082227311277,0.605687064240685,0.7026337004478181,0.30854154122812594
0.6879378698657095,1.17472723778166,0.6820495257375001,0.8482382111282899,0.2827631191349781
0.7203029446486963,0.7782151485074658,0.5110683573838795,0.6698621501800138,0.1405348971319265
1.0654400034656841,0.6021251176496375,0.8317285848460371,0.8330979019871195,0.2316604781285723
0.5533091846010335,1.0247734614184982,0.590638650339793,0.7229070987864415,0.26208938917784624
0.9773602589643682,1.21603734831465,0.9526552503026663,1.0486842858605614,0.14545745081574624
1.0687933512457843,0.984386387830944,0.3021662316118297,0.7851153235628527,0.42037007853850256
1.0857732339550972,1.6100749296801782,1.64843927792802,1.448095813854432,0.31436633842191614
1.4973399455829772,2.1024697683947053,1.5373285032784945,1.7123794057520592,0.3384193248865162
1.6302147812632302,1.6454968578689377,2.0329720156156315,1.7695612182492664,0.22824837697831246
2.0105292391062624,2.4569865970489175,1.6809187680946671,2.0494782014166155,0.3894972208286356
2.928214470002058,2.9848619511538006,2.556422643932656,2.823166355029505,0.23273673933760136
3.0199290682403435,3.2190329938403477,2.8256835275960888,3.0215485298922604,0.19667973368065245
3.400370025968897,4.163300524897921,3.5030434019756758,3.688904650947498,0.4140338626864314
4.1012030218112985,5.003444719466349,4.2003382297905585,4.434995323689402,0.49478074339514744
4.792093026630436,5.902126825920331,5.02840869714801,5.240876183232925,0.5847226550886521
6.237064141482444,7.138138081704243,5.955458942912703,6.44355372203313,0.6177871368765893
6.531259952343864,7.945933774870954,6.638244289483038,7.038479338899285,0.7876970084504397
8.625924183479071,9.607449792689463,8.524649403569654,8.919341126579397,0.5980671346456491
9.751678963398676,10.956797173632735,9.424850631811896,10.044442256281103,0.8068443536356484
10.753345993787192,12.774685300387937,10.935006707729679,11.487679333968268,1.1182747524411834
11.743675581645006,14.111618119907899,11.855372347915335,12.570222016489412,1.3360559504092935
13.617706420451025,15.766325828376646,13.412733729329581,14.26558865938575,1.3037110449863867
15.22665103871719,16.721817512901534,14.628829784416828,15.525766112011851,1.0780778163940419
16.50614991807459,18.206531957700843,16.429927244366873,17.04753637338077,1.0044429039780514
18.037216596145843,20.133487309462023,16.987576752788485,18.386093552798783,1.6017099162489026
19.890977795180618,21.3459411375354,19.216974523385325,20.15129781870045,1.0880944798249066
