J12,K12,L12,mean_HdhQ150-6mon-79,std_HdhQ150-6mon-79
2.681088819086086,2.9467012774214596,2.330171199871833,2.652653765459793,0.3092470668201799
2.7998023923645943,3.1952809419697976,3.2952821256229234,3.096788486652439,0.2620126224693531
3.083710473930053,3.0752576581460835,3.449328199295735,3.2027654437906237,0.21357143260598863
2.822422590886446,2.9903817562259944,3.0661889453154485,2.9596644308092963,0.12475245267515991
2.35268842954272,2.0942553819086918,2.3485021455917923,2.265148652347735,0.14801271450231349
2.554864465955807,1.8528477394226424,2.347261079013995,2.251657761464148,0.36064091119559316
1.6454856494520589,2.0419208071384327,1.978118606722174,1.8885083544375554,0.21286781473097288
1.2608094153966263,2.0725430391582016,1.610249362094987,1.6478672722166052,0.4071721986552045
2.1546022166988745,1.5094144354673262,1.7829217615144468,1.8156461378935491,0.3238363504452101
1.1135346026777084,1.5941532620888592,1.4576338932728603,1.3884405860131428,0.24766784060651922
1.1908990256234047,1.1812858335342302,1.756447335364753,1.3762107315074623,0.3293296366108436
0.8520022936069065,1.0096256645872914,1.433691593087129,1.098439850427109,0.3008431152398875
0.8882535104356718,1.0051734829128727,1.32842544823419,1.0739508138609115,0.2280034531439769
0.8211357009594803,0.8185980720297541,0.913279550616692,0.8510044412019755,0.05394674994480604
1.07107064859566,0.5670170583162918,0.963716107788187,0.8672679382333796,0.26550742461602644
0.727418262690747,1.1284306131480657,1.0053848470436237,0.9537445742941455,0.20543311474067713
0.4965617603012977,0.8003327582947142,0.5066651072384905,0.6011865419448341,0.17253965057252274
0.845884649565174,0.793876171504388,0.4427612001240172,0.6941740070645265,0.21927726755828822
1.3687014724956184,0.39729715020836276,1.1404927400196603,0.9688304542412137,0.5079444306305576
0.3613133573292079,0.8167172683986658,0.4600508015766229,0.5460271424348322,0.2395665438763621
0.8993893406089066,1.4430579211861958,1.1779874813890183,1.1734782477280403,0.27186233881854266
