J6,K6,L6,mean_WT-delta-intron-6mon-57,std_WT-delta-intron-6mon-57
3.1114686246173626,2.8827096991640695,2.561695303028549,2.851957875603327,0.2761737356663962
2.9834900708323784,3.0397367697621758,3.3323417159363355,3.1185228521769637,0.1872960294817714
2.845030254412422,3.1361393215950875,2.9648344995772273,2.9820013585282457,0.14631181781959207
3.156541290997649,3.001972260236359,2.781717060631498,2.980076870621835,0.18836893847493322
2.165539901809156,2.494657468257037,2.022887846883128,2.22769507231644,0.24194853342893505
2.3956524515524027,2.018968923892647,2.0734089810026486,2.162676785482566,0.20359070629586234
1.8344397499294423,1.8645616548533361,1.7247736873337034,1.807925030705494,0.07356929874248555
2.176340998016808,1.3736236966767128,1.8118117535528118,1.7872588160821108,0.4019215116431458
1.9805403585515315,1.9045360299864347,2.0300240188305474,1.9717001357895043,0.0632093425839625
1.2552599420519974,1.2716084961043985,1.2760790991576656,1.267649179104687,0.010959765917927983
1.0965443920042592,1.2208345270425052,0.8225175696022837,1.0466321628830162,0.20379529584364162
1.3742436092940469,0.8681460826730791,0.6618372406613574,0.9680756442094944,0.3665653372439203
1.4191123553138536,1.5459591085787907,0.8346241500548782,1.2665652046491742,0.37941050418575445
0.673325739351326,1.2039045937545598,0.9077174299838351,0.928315921029907,0.26588851716460665
0.46714267684115796,0.9208537234927398,0.7354028891909347,0.7077997631749442,0.22811154702866196
1.2838553736292986,0.6904803924808596,0.7144160699817121,0.8962506120306234,0.3358888470533527
0.7916622875290256,0.7245050713816474,0.8593119881580409,0.7918264490229046,0.06740360831911317
0.8169550423324146,0.46305378426895705,0.3723968575595599,0.5508018947203105,0.23491018087339485
0.9885870675144968,0.687776358510748,1.0498641738525025,0.9087425332925824,0.19379953234870553
0.5427995257330628,0.4565410038122178,0.7515691738809507,0.5836365678087437,0.1516942757247105
0.7437945279755551,0.7424571942638043,0.8985989454974851,0.7949502225789482,0.0897649176312599
0.9290907572772393,1.5199673092721386,1.0178951310514992,1.155651065866959,0.3186162238603147
0.17591719656825772,1.1399383248004726,1.0424161834391834,0.7860905682693046,0.5306706131525382
0.46953828857143104,0.7915164459020382,1.2172669217338659,0.8261072187357783,0.3750625526317808
1.6421385607496488,0.8875002218033702,0.6457714652236594,1.0584700825922262,0.5197209513145922
1.9426837474625567,1.216633051607913,1.404158437298882,1.5211584121231174,0.37690071480352333
1.6978459722680177,1.587923298327075,0.7501075232884158,1.345292264627836,0.518367057020444
1.9623665506288615,2.0160551840482297,1.3995491824172266,1.7926569723647727,0.3414980501081855
1.7622540261469217,1.986282095857024,1.7841661527683836,1.8442340915907767,0.12350409693725409
2.7602178782402187,2.409261711113027,2.1906502638087573,2.453376617720668,0.2873350145579844
2.577801279749085,2.7202697355813195,2.960147312202601,2.7527394425110017,0.1932300016413366
2.3762630891834053,3.26690284787245,2.834070547136816,2.8257454947308904,0.44537823791985054
3.8941830960515733,3.6993526502497107,3.5131352944020318,3.702223680234438,0.1905401241087215
4.050127324458023,4.051748184176955,4.5815450988933035,4.227806869176095,0.30634736520681244
4.737402451659775,5.175890379383484,4.918952184513316,4.944081671852191,0.22032143345642555
5.276002719359068,6.0440725097424455,6.183528905504609,5.834534711535373,0.48870288652009014
6.240361323185181,6.79345636735291,6.953745994436053,6.662521228324714,0.3742825540526547
7.707603129332731,8.398363113689022,8.14677998476383,8.084248742595195,0.3495997084986491
9.00558333495324,9.374498842926059,9.057832448605177,9.145971542161492,0.1996272473020838
9.736232546747921,10.516959953394894,10.396908625996716,10.216700375379844,0.42040466346750005
10.863229540211924,11.727757154992261,11.872796381386298,11.487927692196829,0.5458433201187505
12.822679355074698,13.116923291450039,13.037517687811926,12.992373444778886,0.15222803793218756
13.831837161176436,14.180130832984641,14.278775140564958,14.096914378242012,0.23480230644080757
15.318086166390682,15.89124970962417,15.529197921676507,15.57951126589712,0.2898752943560176
15.953321757528634,17.563073265104737,16.70619743807295,16.740864153568776,0.8054354815305416
17.384690856275384,18.707644869542204,18.670866448993248,18.254400724936946,0.7534152937059359
19.184043047042607,19.42482609637823,19.453548088372923,19.354139077264588,0.14800585403622787
20.864476687504503,20.867628734583487,20.873303671855755,20.86846969798125,0.004473178708881716
21.586705508730653,22.32237148134636,22.17407375231993,22.027716914132313,0.3890582846815634
22.1719239421056,23.156074792401345,23.22710377610208,22.85170083686968,0.5897743205012455
23.72921530144312,23.30184783910716,22.726608934672086,23.252557358407454,0.503117327557061
25.062667262701215,24.843386199595468,25.193586750486197,25.03321340426096,0.17694844953772987
26.18819786405147,26.1062988069224,26.52088126314561,26.271792644706494,0.21956939396598246
27.23455285934459,27.51901959723229,27.349012886052588,27.367528447543155,0.14313438005629808
28.16883894110151,28.59578121992535,28.248473504403123,28.337697888476658,0.22702570426451757
28.96540635180851,28.933826211547053,28.38047615031619,28.759902904557254,0.32897237374916904
30.184069450260782,30.673438850929237,29.723494554383894,30.19366761852464,0.4750448771013879
28.393764877825344,29.870337731367187,29.38650092821459,29.216867845802373,0.752760509684639
30.7842761270487,31.01043256107838,30.715079264018698,30.836595984048596,0.15447141514977292
31.07747665356696,31.401261440609257,31.398213514982352,31.292317203052857,0.18606361476712194
