G23,H23,I23,mean_Q150delta-intron-1.5mon-34,std_Q150delta-intron-1.5mon-34
2.9595256480580012,2.9108490530626123,2.387292525051533,2.7525557420573823,0.3172621408207775
3.099993823119871,3.3593958283895455,2.9254870322683457,3.1282922279259204,0.21833417191031398
3.0596945836199634,2.8323762879175916,3.5210450634443267,3.137705311660627,0.3508994526405662
3.071748623116456,3.4199568767502777,2.50249127898532,2.9980655929506845,0.46314973007803883
2.419427155474171,2.2755492899328327,2.655702991732186,2.4502264790463966,0.1919392039092532
2.2996487038166946,1.7152288405780505,2.085709766029181,2.033529103474642,0.2956835475562377
1.8284658052324911,1.8061532308895893,2.0218204168874454,1.885479817669842,0.11860030349755964
1.5801069461407757,1.9665159099260736,1.677951492880596,1.7415247829824818,0.20089585419861408
2.0659673514957526,1.924474980345428,1.5719070131056476,1.8541164483156092,0.25443397329087075
1.155318066406406,1.4738944873914352,1.3627204615883923,1.3306443384620779,0.16169227643279227
1.624515856375532,0.5904727659946225,1.2254862442258305,1.1468249555319951,0.5214901503819191
1.3104875029472292,0.6847511841330676,1.1133991955219198,1.0362126275340722,0.3199293826441727
1.4972832931884963,1.0025796537797251,1.272237821409935,1.2573669227927189,0.24768685962386766
0.9397812590212526,1.4299047227956694,0.7253836094344821,1.031689863750468,0.3611410991709128
0.6289324951591039,0.8160582159293196,0.6949868304936669,0.7133258471940301,0.09490125654381683
0.9928920558078184,0.7445772490875562,0.7702465069375362,0.8359052706109703,0.1365590192717903
1.0890468894523317,0.8961358629007177,0.43080823384787437,0.8053303287336413,0.3383840506133777
1.0309759419680664,0.8874722202655011,0.7738017718563114,0.8974166446966264,0.12887516101296342
1.0414508931763014,0.6881346958918041,1.4262105526538353,1.051932047240647,0.36914954087285823
0.5629202588104107,0.8905518201999906,0.6005899729581391,0.6846873506561802,0.179276007057299
1.114498094659502,1.1348919147319454,1.1132696773952986,1.1208865622622488,0.012144532744987703
1.5073540417734188,1.0459808515306264,0.8989624769108738,1.1507657900716397,0.3174428870801124
1.155445815276291,0.7542802892475112,0.7092792079286717,0.8730017708174912,0.24563642445217587
1.153210270583332,1.1598172944357725,1.0205425070658802,1.1111900240283281,0.07857252980297666
