A4,B4,C4,mean_1nM-seeds,std_1nM-seeds
2.3478363432716014,2.9065927631599373,2.537303250638324,2.5972441190232876,0.2841599285062291
3.290592353909083,3.3660944210413795,3.126379009930286,3.2610219282935824,0.12256295172013246
3.2112094703703553,3.334002728821064,2.841158916316132,3.12879037183585,0.2565510411858222
3.23400026320101,2.5746785752683596,2.616922142707047,2.8085336603921385,0.36906977975279687
2.440612748859182,2.1277925617140343,2.222395443926489,2.2636002514999016,0.16042909491969587
2.2816870492654813,1.9691241062923663,1.947003827067719,2.0659383275418555,0.187170937600574
1.9996932325048216,1.7577994481786146,1.5085166987302132,1.7553364598045498,0.24559752964251866
1.9172192188374977,1.6382605603898692,1.4433240132326075,1.6662679308199915,0.23818580157648533
1.6992269521742103,1.4047122936068235,1.4975320698672159,1.5338237718827499,0.15057402416802954
1.5664065901549389,0.7397485211323565,0.9138695620185097,1.0733415577686016,0.4357916690821707
1.1216483443586327,1.012765047825277,0.8400799350712301,0.9914977757517133,0.14198385444566505
1.192153442120963,1.372621753630166,1.3169315996914142,1.2939022651475145,0.09241193403395917
0.8224341217052948,0.9272326071140362,0.9532374108973862,0.9009680465722392,0.06924410062386374
0.7717073808647368,0.9156675216447548,1.0553509017858957,0.9142419347651293,0.14182713408795056
0.5499187390724798,0.4916309262002881,0.7642170823496033,0.6019222492074571,0.14354120290297737
0.3972255224282296,0.8866247902090465,0.8735444627807111,0.7191315918059957,0.2788555394251484
0.6991524474809288,0.24429110513919228,0.9891761715056893,0.6442065747086034,0.3754700084227628
1.2318652854355712,1.058490378721413,1.127364089353467,1.139239917836817,0.08729542397033316
0.37948864239189894,0.9402785389472885,1.1304331578996027,0.81673344641293,0.3904189528695647
1.0507470534828083,0.9799442552385728,0.856988203716017,0.9625598374791325,0.09804226869755488
1.0749129516548577,1.254119181076402,0.9521418249282223,1.0937246525531605,0.15186504197667272
1.339522464188906,1.5187258990611756,1.4360126128874935,1.431420325379192,0.08968993586754379
1.6440590792185652,1.2217968667016874,1.7420780743384896,1.535978006752914,0.27646748890962985
2.2081385239220186,2.3395561215339957,1.8166745765959997,2.121456407350671,0.2720048152315559
2.7182767531872387,2.891424629486327,2.2021876927287583,2.603963025134108,0.35855628576806875
2.6721954094357856,3.325866232769596,2.674754367639236,2.890938669948206,0.37666049134875756
2.948266775890956,3.5941553679114473,3.342990966185369,3.295137703329257,0.32559248977830424
4.282872920299206,4.348621791357722,3.664343836019494,4.098612849225474,0.3775220660895718
5.505764387931632,5.428219845927647,4.509051240303376,5.147678491387552,0.5544248040709852
6.086323298403119,6.5813125446652725,5.744761140586741,6.137465661218378,0.4206140973293528
7.2346658281337115,7.196925932778689,6.157420977508724,6.863004246140375,0.6113443274089042
8.082127858167325,8.320049436918934,7.81817568621476,8.073450993767006,0.2510493604718702
10.112054501826556,9.709548363329274,8.88996767568346,9.570523513613097,0.6227920875276763
10.831940567700427,11.07936233747469,9.686402715360172,10.53256854017843,0.7431701254472817
