G22,H22,I22,mean_Q150delta-intron-1.5mon-33,std_Q150delta-intron-1.5mon-33
2.6923887538170037,2.6336758420187816,2.859179661373911,2.728414752403232,0.11698887796085103
3.3017711172294546,3.155678633184869,2.9075280322978485,3.121659260904057,0.1993110402659189
2.9408784008084465,2.7056076949351286,3.2032367048809345,2.9499076002081694,0.24893734696959535
3.04017821579881,2.6688315765689024,2.7997253229787415,2.836245038448818,0.18834768071401436
2.218610051200538,2.4275699556830843,2.456624710231051,2.3676015723715573,0.1298456765783962
1.6799583414940815,1.9570081211495283,2.107772645176396,1.9149130359400022,0.21699139788916488
1.8825855575593944,1.742302021717534,1.6452999197848723,1.7567291663539335,0.11929889081749719
1.6853252275116497,1.3005026964979782,1.2702520886780344,1.4186933375625541,0.2314048365348896
1.7631936298637882,1.9621288987466012,1.2961827048648047,1.6738350778250648,0.3418476216141569
1.2144876810899028,1.2305951319851338,1.3295167016164995,1.2581998382305122,0.06228510051366433
1.4312089977933882,1.5483987417587175,1.2227264445008643,1.40077806135099,0.16495497179495022
1.0826130428218304,1.4350904586151711,1.126545865333242,1.2147497889234145,0.19208079358336078
1.1028165934147247,0.5812601047979981,0.7968963685156247,0.8269910222427826,0.2620773909397195
0.9684748811865939,1.1088584864519249,0.8901437322958345,0.9891590333114509,0.11081476225319863
0.8961582137562945,1.0583649518591824,0.7988052122847641,0.9177761259667471,0.13112328244152177
0.6069760880404107,0.6050727461593787,1.1062257067970147,0.7727581803322682,0.2887929172996914
0.49591877489441477,0.7010110781889934,0.9091889300111775,0.702039594364862,0.2066369973206669
0.687870972826329,1.0826470043305707,0.8409574706569198,0.8704918159379398,0.19903828005171115
0.14405952468701516,0.989506846548059,0.9064916387739769,0.6800193366696837,0.46600705061813874
0.9933590298404056,0.8728884894185721,0.9712816119002838,0.9458430437197537,0.06413757354849618
1.435448405834155,1.0161421173316432,0.916649792283627,1.122746771816475,0.2753387270687876
1.007683198429305,1.4063993851195646,1.0945001156391974,1.1695275663960223,0.20967948911971893
1.0684188318499683,1.209717040057617,0.9116002703568111,1.0632453807547988,0.14912570382528428
1.219995559138983,1.6989267388750118,1.4197851871284566,1.4462358283808172,0.24055871642456
1.8758751271072764,2.0233701315225314,0.9761242337213852,1.6251231641170643,0.5668671827006002
1.9820398305124918,1.6454804262985485,1.5477135350450442,1.725077930618695,0.22784129290827843
2.185790984245827,2.2798559641103022,1.4604899317949485,1.9753789600503593,0.4483805177219199
3.4018447336369224,2.8489950822220544,2.13748751538737,2.7961091104154487,0.6338355373007919
3.2616330520793353,3.3592496494833717,2.5550884474604802,3.058657049674396,0.43882599384487575
4.301001596504586,4.358680920553957,3.7132652942459625,4.1243159371015015,0.3571466076412628
4.842046239086635,5.312247190403615,4.249971990368934,4.801421806619728,0.5323015203220107
6.196409795427516,6.0323958503696815,4.503200118531175,5.577335254776124,0.9338361000359354
6.593908171943362,7.448702731158457,5.5133411193559425,6.518650674152586,0.9698731413643762
7.910134707499052,8.35066156110454,6.289067767809815,7.516621345471136,1.085671136536621
9.043078672958488,9.966012209894236,7.672042662987121,8.893711181946616,1.1542560617396367
9.846645663289712,11.02719248196178,8.304301362063871,9.726046502438454,1.365445762710201
11.844854886261098,12.915109818902119,9.96733010276266,11.575764935975291,1.4921991705966806
13.255780581231736,14.030025533455504,10.377846437080876,12.554550850589372,1.9244207932132513
14.374255537301895,15.838718714944482,12.936230430834502,14.383068227693627,1.4512642100881836
15.87349293547814,17.308631202499903,13.927559311808393,15.70322781659548,1.6969544603604307
