A16,B16,C16,mean_WT-delta-intron-NB43,std_WT-delta-intron-NB43
2.3598354041381344,2.4280761737904184,3.0628142236956992,2.6169086005414175,0.3876700520173571
2.9567884560192415,3.269753942275405,2.86124022172871,3.029260873341119,0.21368213173562978
2.4942192674635204,2.5075221829907814,2.724736125967433,2.5754925254739116,0.1294197863797639
2.44123265293956,2.7353455953479724,2.743866859946335,2.640148369411289,0.1723187444307346
1.9767766036809618,2.1093594285651776,2.0603162058158517,2.0488174126873306,0.06703520005287562
1.462653831916921,1.2715568177376897,2.044856052797101,1.5930222341505706,0.40279630951832673
1.534019710673062,1.263214270380704,1.8732200645968606,1.5568180152168756,0.30564127545519
1.1625522054639832,1.0418516752591545,1.406652182977217,1.203685354566785,0.18584618525591004
1.3448791924483576,1.5595420751170594,1.2186228044955238,1.3743480240203134,0.1723594972606447
1.0584128469797858,1.0977663734405587,0.863345654765984,1.0065082917287762,0.1255341805160246
0.531126767882005,0.6795389407099117,0.9081278633934746,0.7062645239951305,0.1899161633607404
0.6284571471961582,0.3477948207276804,0.658384704900647,0.5448788909414952,0.17133450535887915
-0.033233592493794095,0.13663072255397343,0.8651687906850437,0.32285530691507436,0.4772749808974931
-0.24030960933571058,0.3871039273785177,0.6803111110932857,0.2757018097120309,0.47031207892869853
0.18453120725018318,0.24861742309166893,0.7521170108835555,0.3950885470751359,0.3108516587413849
0.3943897241133012,0.46954537445939504,0.6590729972234116,0.5076693652653693,0.13639790237500293
0.4671392414675991,0.20761824740837512,0.6640382928154865,0.4462652605638202,0.22892489329785853
0.2821642606433619,0.5156835551801072,1.0967599271175,0.6315359143136564,0.41947330284204964
-0.13704370815523498,0.43240502561824573,0.942857930061558,0.4127397491748563,0.5402193345105527
0.32672455310760884,0.5270449627784138,0.5190144570956705,0.45759465766056434,0.1134079382347474
0.7404553398956144,0.7317351866698679,0.7816324850173386,0.7512743371942735,0.02665001167927366
0.657751391035176,0.675527813001913,0.7859335549140738,0.706404252983721,0.06944553760776709
0.714229004330263,0.6471658809377475,0.7339295947460877,0.6984414933380328,0.04548537826545177
1.0759007940179464,1.088708970829101,0.6600942251444875,0.9415679966638449,0.24384754538093065
1.2318178277087133,1.3437496205517403,1.1946631138745436,1.2567435207116657,0.07760582611544399
1.2048477503443413,1.845532913179385,1.9467079981633193,1.6656962205623485,0.40229974376338434
2.431746655136423,2.7646161168697736,1.9360550273901564,2.3774725997987844,0.4169383942047162
2.1876324599269825,2.6185138677104822,2.1492352845392633,2.3184605373922427,0.2605620589144528
2.9582123374104254,3.3338849945477618,3.151957012940428,3.1480181149662054,0.18786730028957985
3.31578349777739,4.690875672129063,3.624707009474325,3.8771220597935923,0.7214600752720566
3.819000076552934,5.355012809909904,3.7491063361096186,4.307706407524152,0.907666959350691
4.723947925011891,6.113738259304099,4.585338490026423,5.141008224780804,0.8452549520201079
6.398710040648725,7.87342711485663,5.771017034301269,6.681051396602208,1.0792680471812548
