A12,B12,C12,mean_WT-NB3,std_WT-NB3
2.913485421233615,2.812594959561961,3.2388978388878766,2.9883260732278174,0.2227877434321277
2.7181935368499057,2.8813814336668875,2.546657385329995,2.7154107852822627,0.16737937421759877
2.3251922619568255,2.56015126416138,2.438125766139852,2.441156430752686,0.11750881615962522
2.3288560161921565,2.310801671285095,2.687092249195139,2.4422499788907968,0.21223169612087675
1.3124669770928137,1.9068649014961039,1.6122534633509353,1.6105284473132844,0.29720271683479355
1.6244805052221918,1.5761349502763582,2.162364883509203,1.7876601130025842,0.3254029378341081
1.3413665134527522,1.2880540167593053,1.4541198446564192,1.361180124956159,0.08478737641532737
1.4234950215267377,1.3556656148735962,1.104724319125213,1.2946283185085157,0.16792216601169532
0.8968739620144895,1.2274265660454533,1.340206821284939,1.1548357831149605,0.23040849019095294
0.5328646200941247,0.6267195841225441,1.2928470990377428,0.8174771010848039,0.4143484822990508
0.8711625928797126,0.8213091609602657,0.4124150388513967,0.701628930897125,0.25170388889072687
0.2688172281336412,0.4533114297418809,0.9968476670918356,0.5729921083224525,0.378483392808119
0.32104236326963154,0.7624340096237007,0.7061093061418664,0.5965285596783996,0.24023447164053469
0.3270796129464839,0.6504002495070328,0.6115481729492189,0.529676011800912,0.17652576748112556
0.21927239722123373,0.12661467017294623,0.8093473479347952,0.38507813844299177,0.3703371912022051
0.6105678014316317,0.5335612096902503,0.38587925260173744,0.5100027545745398,0.11418181378573453
-0.0006632169204642578,0.24049374388535627,0.47399793425708764,0.23794282040732653,0.23734085724384407
0.6777143680928386,0.5884112320187413,0.4264198699993791,0.5641818233703196,0.1273873203093624
0.7461055631815755,0.21663700007752917,0.9990526598737538,0.6539317410442861,0.3992688020483668
0.08380887032607987,0.21156637159081434,0.7041245885082354,0.3331666101417099,0.3275482576166249
0.5800660031242136,0.3477824836339646,1.0715844665316878,0.666477651096622,0.3695572449440676
0.498111179312451,0.4684210787041049,1.438501269325627,0.8016778424473943,0.5517050237982569
0.4476197945943379,0.770400018204056,1.2483914193429522,0.8221370773804487,0.4028850223324268
0.6703154342443497,0.48657188776433796,1.0332441473376233,0.730043823115437,0.2781874371257484
0.9851015496790325,0.9404755765068438,1.5461575157396297,1.1572448806418354,0.3375465118682518
1.2469774712100512,1.5447417980963352,1.6107854645951794,1.4675015779671885,0.1938133192454214
1.906377766142811,2.270946582794534,2.5230488909897995,2.2334577466423817,0.3100401243098137
2.0380986076469685,2.2803254955935213,2.8518954243660755,2.3901065092021887,0.4178578920365723
2.749634007591179,2.8039367269310858,3.447702769705918,3.0004245014093947,0.3883047557005709
3.435652785510775,3.964131015299584,3.9615688758724703,3.7871175588942765,0.30438011816928523
4.2604576812136,4.838223076771634,4.7802976249036435,4.626326127629626,0.31817232682256474
4.587566487268145,5.053750997706774,5.237910863337962,4.95974278277096,0.3352090545137074
5.860743441249743,6.611238550242153,6.7849701381363685,6.418984043209421,0.491192521742025
6.89209017029972,7.192443628317019,7.985725334586201,7.356753044400979,0.5650288986426879
8.544343340599681,8.639612367905002,9.253234407756683,8.812396705420456,0.38473686688662756
9.250947275089052,10.046559102650836,10.37899540262122,9.892167260120369,0.5796557385959115
10.70434713243392,11.738204413963961,11.603512098183675,11.348687881527184,0.5620647255335606
12.797254989272,12.811700686349209,13.039779042582847,12.882911572734685,0.1360430882604278
14.711727133558435,14.432327472915945,15.360129885351828,14.834728163942069,0.47597402159890795
15.616955029853171,16.58678712722505,16.033720655304652,16.07915427079429,0.48650974742088166
16.950098408240102,16.772772219061867,17.507361887186544,17.076744171496173,0.38332082795214123
18.67039338599684,19.517327883918735,18.8142204093228,19.00064722641279,0.45320054009266425
20.276790551935626,19.984419568570136,21.076211744371392,20.445807288292386,0.5651792031397898
20.754834381106583,21.677780112745225,22.277816723397763,21.570143739083193,0.7671753355224714
22.702848998712458,23.253026398062797,22.934370233215954,22.96341520999707,0.2762363131381124
23.26682208603115,23.50516097835069,24.997401448462156,23.923128170948,0.9379491793182521
25.211862108633166,25.632137117171588,26.15251199015795,25.665503738654234,0.4712117872836188
26.222761119325128,26.739078543717117,26.080831541095762,26.347557068046,0.34641420399264355
26.2823136687323,27.252813929550506,27.284745656354808,26.939957751545872,0.5697602246023792
27.98932422371588,28.07161925958912,28.73666066667784,28.26586804999428,0.4097894388282342
27.545044322057116,29.32840709757475,29.153122487735274,28.675524635789046,0.9829397125018543
28.761472966582012,29.8824965617013,30.519600279900455,29.721189936061254,0.8900942551581909
29.79822571102875,30.992736006842218,30.723123775942025,30.504695164604332,0.6264958143429853
31.36380424852159,30.910937036681847,31.610110549559085,31.294950611587506,0.35463575364951844
30.6453377786922,32.30867203616914,31.478005502477984,31.477338439113108,0.8316673293777046
32.44406144434372,33.301961910697855,32.94953007758941,32.898517810876996,0.43121919143170784
32.11880464002926,33.08152121067185,33.10546033853917,32.768595396413424,0.5628625860478664
32.25460758833622,33.69059407831956,34.38623467729337,33.44381211464972,1.087030135179584
32.634704103099004,33.574081338930355,34.023587843960556,33.41079109532997,0.7086940730305982
32.6930668122111,34.48350574737,35.25410817827499,34.14356024595203,1.3139274818738422
34.27709240845495,35.04887298352126,35.04839122806781,34.791452206681335,0.44544871707717176
34.89977332551407,35.033462178411554,34.914370427797984,34.94920197724121,0.07333556418766342
34.14446450468116,34.72872626751784,35.115615939214315,34.6629355704711,0.4889070351941899
35.21379701169224,36.032847320686784,36.154499337955706,35.80038122344491,0.5116254307933915
36.34687605839667,36.863087843901745,37.030125802384376,36.7466965682276,0.3561849940053753
36.260862612943946,35.58686356866082,36.79532196914263,36.214349383582466,0.6055704226619634
36.16350487524129,37.74267326766607,37.2632434663556,37.05647386975431,0.809634764858427
35.82984056003437,36.73045482728635,36.410640697669784,36.3236453616635,0.45656615726484845
37.076588235631775,37.42172693471832,37.08648363190382,37.19493293408464,0.19647167419101091
36.90885705180238,37.27218925328699,37.93015085037065,37.37039905182001,0.5176814939172781
37.04842440365968,38.88451814149232,37.709193043152545,37.88071186276818,0.9299860658304597
37.464885961070294,38.73889548223674,37.35035457054382,37.85137867128362,0.7707424518912158
38.02596307243473,37.52090288267285,37.607766112295074,37.71821068913422,0.27003694605638495
36.70464888385178,38.85238480882514,37.13693001700387,37.5646545698936,1.1359593393752405
38.62009311646262,39.09333901982083,38.96324217345211,38.89222476991185,0.24448522443193182
38.838077014551224,38.23300831877482,38.48070894532413,38.51726475955005,0.3041862543203254
36.931296484572904,38.48971143088249,38.43833455744783,37.95311415763441,0.8852928405429465
38.1410705289442,38.57932690223208,38.730531037189614,38.48364282278863,0.30615764728231376
38.07374702212425,38.052916733187544,38.33786482709961,38.154842860803804,0.1588434932390504
