G13,H13,I13,mean_WT-1.5mon-16,std_WT-1.5mon-16
3.3417743860770655,2.4554778761118246,2.783200570348808,2.860150944179233,0.4481310030768047
3.103425275656855,3.262280468612641,3.0919118208075402,3.1525391883590124,0.09521292640403906
2.4473194219161236,2.9680965320367263,2.8656332078749904,2.7603497206092804,0.27589066516378064
2.4854266972232972,2.9689362616035213,3.1142012009187354,2.856188053248518,0.3292012499821478
1.919691024816183,2.330798169219675,2.2945431379667705,2.181677444000876,0.22760990685974233
2.1980086597015442,1.6938495224962566,1.6612895044756133,1.851049228891138,0.30091638982379626
1.0247952482156342,1.734445020523851,2.020900105837624,1.5933801248590365,0.5128164393193972
1.5413027385715174,1.3015881971573369,1.3085132547763914,1.383801396835082,0.13644410427841833
1.1294441746977963,1.5109434398811243,1.5931057675907527,1.4111644607232243,0.2474114017024132
1.30127847593831,1.0725905807346228,1.5990648267270722,1.3243112944666684,0.2639917914828977
1.2695459446272837,1.0997907557073514,0.7553125205059945,1.04154974028021,0.26201720464382644
1.047920654687184,1.0832823908583267,0.8037670721608394,0.9783233725687834,0.15220065573229521
0.9153348677148149,1.4181014462405943,1.2960427335245597,1.2098263491599897,0.26223750078946406
0.6566308912075486,0.8138118807537915,0.2864784165094124,0.5856403961569175,0.2707395121120017
0.5596066661666925,0.31576626075129405,0.6648653280282522,0.5134127516487462,0.17907525791487505
0.7882931263956906,0.7334745772951089,0.9861286251733101,0.8359654429547033,0.13290223587993968
0.15486161964348363,0.7408464736157727,0.7935609866771856,0.5630896933121473,0.35451703071960644
0.8762115945527107,0.6129233595184962,0.8089343932503337,0.7660231157738467,0.1367889139435502
0.8225885312445967,0.8563943992789351,0.5014067334424306,0.7267965546553209,0.19592380612925206
1.2612149524687433,0.5066702795620025,0.6018219355539959,0.7899023891949138,0.41093200001255104
1.158865398558524,0.8984671389301714,0.9802265391958468,1.0125196922281807,0.13316887475662637
1.2704276255776572,0.8008540767284313,1.1736514342251494,1.0816443788437462,0.24793911172842728
0.6749560872088939,1.0702448930828035,0.904889877317965,0.8833636192032207,0.1985216483248673
1.2460625479543292,1.3077390298267422,1.3375862438275556,1.2971292738695424,0.04667517453290573
1.7716790823981365,1.4316024035278099,1.6263597897190265,1.6098804252149908,0.170636203569789
1.8442305599300393,1.7530768096513236,1.5071432123410569,1.701483527307473,0.1743656217934116
2.42369062452667,2.062155028779887,2.3787807537350214,2.2882088023471927,0.1970519107535999
2.8193844832012696,3.042906416017414,2.4766629069078605,2.779651268708848,0.2852051439799094
3.1641153782758864,3.052709955531522,2.531009830858058,2.915945054888489,0.33798540956486733
4.471443269596706,3.658308403864337,3.3218354730454878,3.8171957155021765,0.5910443340583358
4.912067015273222,4.818449778927077,3.5126299908600216,4.414382261686773,0.7823419426255858
5.49303057255649,5.098446357522011,4.471299304543209,5.02092541154057,0.5152580118818147
7.706570536946676,6.087992502962942,5.297734505406182,6.364099181771934,1.2279246435649611
8.030368862210139,6.776043100231586,6.2281185608560286,7.011510174432584,0.9239102199117235
9.322283896782327,8.654176806324664,7.159193212303655,8.378551305136883,1.1075727470457029
11.09063926360288,9.94683440127709,8.772295750132125,9.936589805004031,1.15920570884877
12.565094561750445,11.344686217795084,9.604204014329877,11.171328264625137,1.488038286939074
