G7,H7,I7,mean_Q150delta-intron-1mon-30,std_Q150delta-intron-1mon-30
2.667102792138358,2.69938591376792,3.003071212579908,2.789853306162062,0.18535629662475547
3.187725990108476,3.608853101891621,3.059512189809998,3.285363760603365,0.2873912143613244
3.157729836364383,2.7196183426232383,2.4137354908250535,2.763694556604225,0.37395043926675237
3.0504836384303227,2.5288460884897392,2.5256718449902795,2.70166719063678,0.30208807431596363
2.3857029227710913,2.144914535598211,1.9174225783083894,2.1493466788925644,0.23417163187107645
2.118286993975702,1.6761436448186835,1.4544109129948386,1.7496138505964083,0.33798116231144215
1.736245828214405,1.723880003589422,1.579169569614273,1.6797651338060333,0.08733744360787017
1.8608548374870797,1.3021330399522124,1.7033504507978434,1.6221127760790452,0.2880836364763474
1.5895575918227238,1.2118667133110619,1.0102038267711368,1.270542710634974,0.29410006930690985
0.7056218572568599,1.118140404352682,1.1064516109258515,0.9767379575117978,0.2348661572811799
1.2444369789776952,1.1371554532889454,1.041995860477535,1.141196097581392,0.10128102842893401
1.1438121130253949,0.8793792254461306,0.9924219560825396,1.0052044315180215,0.13267905549509684
1.1484778935846096,0.7730446162995889,0.8773860827366324,0.9329695308736102,0.19379028923901193
1.1712722144908239,1.017730645727996,0.7952025080635767,0.9947351227607989,0.1890864923268453
0.6551843547590888,0.7932072427043252,0.6462664272014514,0.698219341554955,0.08238269467280547
0.9651765137062956,0.4734775742840166,0.7049236244843866,0.7145259041582329,0.24599007010131443
0.6731894066847492,0.6304553591393549,0.5447273875272526,0.616124051117119,0.06541912857663586
0.47041615901498085,0.8700348873436279,1.0180446625948645,0.7861652363178244,0.2832840151785451
0.5033611580043303,0.7674116380041393,0.4009121113403401,0.5572283024496033,0.1890944941007356
0.8820223375557354,0.8285581998011052,0.8881242090943147,0.8662349154837184,0.03277131958801301
1.0440767481169617,0.9031914331142974,0.7040482714708285,0.8837721509006959,0.1708440008424092
0.9953573239724302,1.2954303471505855,1.4818683587085184,1.2575520099438446,0.24545737522461103
1.317242162632021,1.0803684536980496,0.5056477516122798,0.9677527893141168,0.4173524744123318
1.2278590506179514,1.5707745841880276,0.8688277506215178,1.2224871284758323,0.3510042484773341
1.3300386275471456,1.4715812316796764,1.6046529740246012,1.4687576110838076,0.13732894613941393
1.6749088881275793,2.1266913843659094,1.9261805803863676,1.9092602842932855,0.22636602724733756
1.8537952550126862,2.2263226089681307,2.179665738338018,2.0865945341062786,0.2029552762411485
2.346027103485604,3.3947580636545327,2.66495261177341,2.8019125929711826,0.5376129500314156
3.190412558745975,3.0229982441774665,3.3960817251185085,3.203164176013983,0.1868683326435582
3.494424261796097,4.597048075494277,3.305543638451166,3.7990053252471796,0.6975479523912711
4.396051026263943,4.679608889284948,4.366634028519249,4.480764648022713,0.17283117239503756
5.567115427773567,6.432359786285523,5.016880537615382,5.67211858389149,0.7135577222271443
6.410271832560927,7.454652288500585,6.452888296245231,6.7726041391022465,0.5910552421876583
6.979875387830791,8.668409110120205,7.229816814503974,7.6260337708183235,0.9113327823470364
8.411825805453429,10.425676374370116,8.734025035187768,9.190509071670439,1.0817494095926976
9.895783507843934,11.413763843248411,9.482174679004922,10.263907343365757,1.0170523799515874
11.82113911977548,12.527334149271407,10.892192386322284,11.746888551789723,0.8200957300033621
12.37547175587916,14.24474214908868,12.685631337704798,13.101948414224212,1.0017648835348902
14.420076963920122,16.745073830262914,13.609366704960484,14.924839166381174,1.6276527438901411
16.11984058493436,17.65122278163752,15.643970183164472,16.471677849912115,1.0488602596578225
18.049819586842684,19.47414304101318,17.52464484029017,18.349535822715342,1.0087161023746076
18.81315204734805,20.967258474722943,17.913177292411582,19.23119593816086,1.5693704113502085
20.642731336695807,21.836184640264317,19.98636315232229,20.821759709760805,0.9378156818291847
21.828363124556926,22.784979502992467,20.813086959474962,21.80880986234145,0.9860916784672885
22.922764187943212,24.405158730957453,21.532415429934588,22.953446116278418,1.4366173999843215
23.47119437257072,25.696291440803133,22.954943969319487,24.04080992756445,1.4567405054506286
25.628338593570536,27.10070660842131,25.13602004379813,25.95502174859666,1.0222718508968507
26.508087250066513,27.25180617909429,25.039214947597305,26.26636945891937,1.1259265550390614
28.056356926450164,28.910303654491802,26.28386868295996,27.75017642130064,1.3397201354094745
28.89275453732867,29.925125638098855,27.705570768778475,28.841150314735334,1.1106769113126684
28.112237191902256,29.811356875532713,28.968267580293734,28.963953882576234,0.8495680554352985
29.634141634731954,30.997635137861206,29.309807296313075,29.98052802296874,0.8956440995970735
31.57511083022946,31.440899053089655,30.915253339988112,31.31042107443574,0.3487425325969153
31.62598902121841,32.59574633625741,30.567573978697176,31.596436445391003,1.014409086141478
32.74660443435864,32.883225100343566,31.922880798157642,32.51757011095328,0.5195265495223068
