D14,E14,F14,mean_Q150delta-intron-2w-25,std_Q150delta-intron-2w-25
2.9202261371603164,2.658617727682124,3.2761674551904783,2.951670440010973,0.3099733450197509
2.964506336196278,3.094961470450339,3.4591516929245807,3.1728731665237326,0.25636142752370544
3.024141116149157,3.104967852343308,3.337181113585233,3.1554300273592326,0.16250641011725642
2.2041732335594286,2.779771953542209,2.622626841644031,2.5355240095818896,0.297520838138084
1.818930969795431,2.2634162244704745,2.2294009961707206,2.1039160634788754,0.24738964540859884
2.1468011834704206,1.8859990863069873,1.743180630890169,1.9253269668891921,0.20466411326760012
1.3523480600069717,1.9478123440694308,1.481085814552316,1.593748739542906,0.31331155324864857
1.88020433462126,1.52731970227877,1.4990379488662757,1.6355206619221019,0.2123735839462687
1.6128440652866873,1.6962220961427223,1.1673427280720534,1.4921362965004878,0.2843521066859089
1.1644561699780447,1.368016749409795,1.3638555974368964,1.298776172274912,0.11634313928723183
0.7439021567510967,1.123899958380562,0.7169029938575047,0.8615683696630544,0.22758654513948606
0.4242462442675953,1.05251984550801,1.1789305496841063,0.8852322131532372,0.40419792696728374
0.7213102583595229,1.2244938905220073,0.7392770677282473,0.8950270722032592,0.28546801894351015
0.9649726722423924,1.0744086815890224,1.0174112278783476,1.0189308605699205,0.05473382864433015
0.2577768672177594,0.9374487332992896,1.2114426902534674,0.8022227635901721,0.4910032308136291
0.6087173617367764,0.9895991917512849,0.6477077325481098,0.748674762012057,0.20955547687397824
0.5784415498383932,1.3219457447188325,0.613963876105379,0.8381170568875348,0.4193842012907389
0.952305273539192,0.9855314185482836,0.4824494786297857,0.8067620569057539,0.2813538350530267
0.2456325362545649,0.6922078800064467,0.39954782084544344,0.44579607903548507,0.22685140610317453
1.040433794817456,0.7851987596060918,0.5857016622022198,0.8037780722085891,0.2279346863704298
1.094131693281959,0.6159403704349228,1.0609824170288642,0.9236848269152486,0.2670294113010857
1.2742714465166152,1.642949578891681,0.9570954465483847,1.2914388239855603,0.3432491978868485
1.6882888414811215,1.6561495319386499,1.3100218662368137,1.5514867465521949,0.20973125690692304
1.4774791542619947,1.544752488016213,1.5984283352294786,1.5402199925025621,0.06060184593609537
2.1490969232524417,2.038236985735714,1.7312120350956768,1.9728486480279441,0.2164801860877503
2.034412562036967,2.0490832882820764,1.9187457351461181,2.0007471951550535,0.07139318689369137
3.134549105505929,2.894838808807559,2.1448696056177563,2.7247525066437484,0.5162977733464917
3.6878992844813676,3.828591559513522,2.8671386781724117,3.4612098407224337,0.5192677427816809
4.234574803050024,4.450192303439457,3.1157828151722393,3.9335166405539064,0.7163373391765561
5.184204782112231,5.341899782985101,3.865774090207196,4.79729288510151,0.8105630001770925
5.763791032242512,6.340160111697569,5.010385677110843,5.704778940350309,0.6668484325258869
7.051190171943322,7.752098032913457,5.866630537624925,6.889972914160569,0.9530163545829872
8.425545092833586,9.174753337846786,6.986155720631471,8.195484717103946,1.1122885034381977
9.47757907352303,10.302530798705112,8.168547076159529,9.31621898279589,1.076103824536452
11.54367356049179,12.048999624580144,9.33156634540502,10.974746510158985,1.445292149754646
13.619418433184844,13.645591730673562,11.047242592978227,12.770750918945545,1.492659362558771
14.421772180767364,14.7127942292846,12.534959495364713,13.889841968472226,1.1823507707661207
16.261065456996757,16.795302227886953,13.58462767047666,15.546998451786791,1.7203274526518473
18.194462122631634,18.411224793843495,15.429979427618147,17.34522211469776,1.6621860385398124
18.943871041241703,19.860575848476223,16.80695031882861,18.537132402848844,1.5669187786226115
20.86636951337661,20.564953359305292,17.809450124686425,19.746924332456107,1.6846565388272357
21.66641137786738,23.061005939343417,19.296402638348244,21.34127331851968,1.903246061783192
24.54247676453405,23.462321410504412,20.662859968316955,22.88921938111847,2.0022964499387106
25.19106730420106,25.743940559067667,22.887869162498376,24.6076256752557,1.5147901030720807
26.088883360570126,26.436460302058233,23.836975544210933,25.454106402279763,1.4112181233432277
27.242889900519103,28.366972942224923,25.15583895811237,26.921900600285465,1.6294541920928618
28.8138284566874,28.16617605100122,25.753355263264805,27.57778659031781,1.6128470665246166
29.165018366606976,29.51872253580557,28.081476183370597,28.921739028594384,0.7488710814451262
30.600899073332954,30.23228046212647,27.9409558552448,29.591378463568073,1.4411422586547116
30.851183248629084,30.911583190709248,28.454527944582512,30.072431461306948,1.4014709702033767
31.61474735887211,31.27845393221753,30.33918407800452,31.077461789698052,0.6611080107594733
32.22884677760904,32.634332766088654,31.031536543354832,31.964905362350844,0.8333593078131594
33.735963708547885,32.78174770726333,31.76541032516814,32.76104058032646,0.9854398753941432
34.57026318354838,33.488981778145856,32.10346840580956,33.387571122501264,1.236520201888581
34.75052436233545,33.7221227023156,33.019443339573215,33.83069680140809,0.8706328893897778
34.880448813113375,35.390090802168736,33.39546108311547,34.555333566132525,1.0362971928444031
35.20703745870275,34.075258713559116,34.571602471462015,34.61796621457463,0.5673120653540555
36.77256902615172,35.00899470781361,34.22926408121581,35.33694260506038,1.3029821097065368
36.482379724953105,36.517565047998055,34.88415305045991,35.96136594113702,0.9330595964996843
35.840598089952536,37.3540713120123,35.685821059559494,36.2934968205081,0.9217389388033643
