D7,E7,F7,mean_WT-delta-intron-2w-46,std_WT-delta-intron-2w-46
2.68881254744819,2.6412944021450158,2.6211013204441116,2.6504027566791057,0.03476239573646303
2.6256302077848197,3.1445134584395906,2.9686188132453504,2.91292082648992,0.2638875825971573
2.7566481534749157,3.0409611212812884,2.7038993502296558,2.83383620832862,0.18130404362614103
2.691095468367379,2.8686699352297067,2.8786580596642923,2.812807821087126,0.10552423068121504
1.6032306594712435,2.1828805889558263,2.145752306040908,1.977287851489326,0.32447452060738446
2.0819884136296167,1.9725278855992308,2.0384126836586236,2.030976327629157,0.05510786098571116
1.692118949054295,1.6600405806463387,1.4871076925184863,1.61308907407304,0.11027573080113626
1.3420270723134236,2.00966297397492,1.9709191690783847,1.7742030717889092,0.3747763886592131
1.1390747306161806,0.7820385521597504,1.2157940387259516,1.045635773833961,0.23148236329142366
1.4348317819507623,0.7538508019577455,0.977758579321379,1.0554803877432957,0.3470796499455741
0.9803944678828848,0.5995732119110605,0.9233823387332717,0.834450006175739,0.20539699871366696
0.6482525450789985,0.7238454581997223,0.5537050897212575,0.6419343643333262,0.08524597235323311
0.4705219909957853,0.7115399138365633,0.35893510039278337,0.5136656684083774,0.18021812142912289
0.30545311231427036,0.16215401713284477,0.491396613131035,0.31966791419271673,0.1650809413567765
0.16801049127502027,0.5137508591303123,0.7626914317828881,0.4814842607294069,0.29865064084998133
0.7362670482418409,0.613876592634199,0.5168300508412949,0.6223245639057783,0.10996215313004688
0.5389095938071043,0.3243117896530189,0.15150321021808422,0.33824153122606915,0.19407847584572516
0.5061898873423115,0.48458402152240754,0.4787333316075118,0.489835746824077,0.014462056464683258
0.7409540774240688,0.2773191306830013,0.33922216227589314,0.45249845679432105,0.2517200431725041
0.6569545625535295,0.9878849042876824,0.6539905146379206,0.7662766604930441,0.19192409094045326
0.48520091580995717,0.7065335148485266,1.0073326659498893,0.7330223655361244,0.2620718136963789
0.5004665954074645,0.8769074769080506,1.3640575518394693,0.9138105413849947,0.4329765722687872
0.6308427030571132,1.0022750249100616,0.7396383714073408,0.7909186997915052,0.1909522099601334
1.2192244938001566,1.4797115086398687,1.17295657680804,1.2906308597493552,0.16537472259792482
1.4689637758655838,1.6263280165344447,1.1694569844822595,1.4215829256274295,0.23209156320098112
1.4136434316866393,1.8117546453566769,1.9543520534959329,1.7265833768464163,0.2802357260583696
2.3481066387068834,2.5832943073467787,1.9046940130292729,2.278698319694312,0.34458340923942427
2.543606896632622,3.1791387834392197,2.38679791710126,2.703181199057701,0.4195819116848759
3.047765979457039,3.518329483114977,3.00212978571214,3.1894084160947185,0.28576645498061776
3.731265951045438,4.280835787319805,3.7651397061888865,3.9257471481847097,0.3079818404613977
4.8066889058269,5.286866246380542,3.8676966356820768,4.653750595963173,0.7218401422409868
5.524890616310558,6.323824849040234,5.147301922903312,5.665339129418034,0.6007044927058746
6.677399038767906,7.796739970813032,5.653404700827892,6.7091812368029435,1.072021035695906
8.096662420598225,9.110269634412816,6.928536526368635,8.045156193793225,1.0917781401153792
