D22,E22,F22,mean_WT-delta-intron-1mon-49,std_WT-delta-intron-1mon-49
3.254353725571109,2.912899084818276,2.499254697045876,2.888835835811754,0.37812420668941576
3.157595157254071,3.1373522501451423,3.221048814816221,3.1719987407384784,0.043667793021049554
3.1576030706042495,3.0668916993684707,2.947486591928742,3.0573271206338206,0.1053842707785523
2.3451837613454556,2.7328972613271554,2.7482787947086664,2.608786605793759,0.2284162704213932
2.3878987677502024,2.4425145686320873,2.179583125859478,2.3366654874139225,0.13875111768967252
1.9097940244370404,1.8745096986880556,1.5698280974849228,1.7847106068700063,0.18692810259726325
1.7820251815509318,1.6487310199565774,1.2779829107463,1.5695797040846031,0.26117685730682805
1.2717143059292428,1.1424398601471089,1.3404408788538662,1.251531681643406,0.10053160992705656
1.7825292850552967,1.4192954753374014,1.7989602220361747,1.666928327476291,0.21461364359319807
1.3464651027241417,0.9178479429292843,1.1723517200378584,1.1455549218970946,0.21556140357355302
0.8169310885336188,1.3191331160342405,1.4903468011234462,1.2088036685637684,0.3500023153138719
0.9149455018576339,1.039714207659908,0.9335247836045305,0.9627281643740241,0.0673159384779684
0.4414489911782446,1.0027641332433435,1.161681072849333,0.8686313990903071,0.37838770546305306
0.23682184380172505,0.7130600987605304,0.4579189628946764,0.46926696848564403,0.23832184498010564
0.404095115534861,0.8023569172976025,0.5205164071252338,0.5756561466525657,0.20477648508113136
1.2477058667969454,1.038121344153405,0.7131460818665734,0.999657764272308,0.26934759354624566
0.8936759819828438,0.6969142117067424,1.1341529112816353,0.9082477016570739,0.21898326731096174
0.9242565074044186,0.23652551596180918,0.9368747614085219,0.6992189282582499,0.40075391504066565
0.4055244120379223,0.2186189790684352,0.9224128563783053,0.5155187491615543,0.3645620949634857
1.1874200788596947,1.221652902312045,0.6182728508402592,1.0091152773373329,0.3389119698579121
1.065861354373452,0.49397254192398143,1.0242798560181445,0.8613712507718594,0.31885516100368194
0.8475669451991081,1.0428666194395773,0.8516537570747471,0.9140291072378108,0.11159526836108219
1.1555701830407064,1.395946876956187,0.9001270666510337,1.1505480422159755,0.24794805402867573
1.4203478109247398,1.557119581745044,0.8496942792553589,1.2757205573083807,0.3752338224588951
1.5476548645872379,1.8666463715589856,1.5069022086122448,1.640401148252823,0.19699078796709163
2.6843503941027587,2.3165733864035083,1.764670889831969,2.2551982234460786,0.4629014804631539
3.0457408919803086,2.974629108647725,2.6575578760208067,2.892642625549614,0.20667087610002383
2.5620537657991616,3.7178207080751466,2.9002255330855835,3.0600333356532974,0.594224878758569
3.8320097732148355,4.259711164648391,2.8274025753007384,3.6397078377213212,0.7352632178857307
4.436774379948094,5.055253965758608,4.020590241554353,4.504206195753685,0.5206174630985634
5.246794823072448,6.021937905906471,4.315242387306694,5.194658372095204,0.8545414299157869
6.732399328255617,6.997221202834019,5.373365487719151,6.3676620062695966,0.871207111664589
7.727051125641626,8.2561390906493,6.47655173199211,7.48658064942768,0.9138393344680676
9.069190115502474,9.346434243420596,7.213720853595151,8.543115070839407,1.1596045943545243
10.880988985414346,10.91250948231837,8.63282580568676,10.142108091139827,1.3071718128532646
12.087221367752388,12.912061596025811,9.562771740087994,11.520684901288732,1.745038197475011
13.449434018449608,14.5192654640804,11.408161566750064,13.125620349760021,1.58062751273621
14.495567358118508,15.32407354099264,13.164968778655902,14.328203225922351,1.0892389123813124
16.496670380575083,17.295006462234813,14.237533289971458,16.00973671092712,1.5858322259164623
18.22083387474509,19.431042347246326,16.318123858885176,17.990000026958864,1.5692445882519437
19.142217440301295,20.408354068718893,17.647544237697932,19.066038582239372,1.3819805152668434
