J1,K1,L1,mean_Q150delta-intron-1.5mon-36,std_Q150delta-intron-1.5mon-36
2.6674975000052363,3.0136107207860676,2.574674181089427,2.7519274672935765,0.23132798361298157
3.1567133983236224,3.1150257944821313,3.3352886068616074,3.20234259988912,0.11700617358053252
2.5867250276524505,2.756043467591842,2.818663104293392,2.720477199845895,0.1199897387279726
2.78104514389995,2.6466018059114274,2.333057590384246,2.586901513398541,0.22988324367130272
1.323320800103406,2.3391451796330274,1.8879642991176813,1.8501434262847047,0.508967195728832
1.1917983473997156,1.6148216036875693,1.9743998818539654,1.5936732776470837,0.3917291528636497
1.6396075074438843,1.8046942852685832,1.3709701247068862,1.6050906391397846,0.2189125910309389
0.8685897636137979,1.4599573079890036,1.1539580509025043,1.1608350408351018,0.29574374528971864
1.7834889077489888,1.3253186792825726,1.5942773555984189,1.5676949808766603,0.2302389118885598
1.1982442792111245,1.0701346534960443,1.110015261544917,1.1261313980840286,0.06555773366220763
1.0977576403398048,1.017022282036132,0.9884866097644187,1.0344221773801185,0.056675451469203164
0.7989647647344914,1.1950111003808306,0.9717010603608717,0.9885589751587313,0.19856061281941617
1.0368074677146606,1.3131380539701014,1.0474157981224907,1.1324537732690843,0.15656704997490178
0.17289549711981417,0.6083254229163843,0.685722460049336,0.48898112669517807,0.2764600681061924
0.8657604900049867,1.0196584553580452,0.8385508252732866,0.9079899235454395,0.09766005944904028
0.4685363343795689,0.5695276749486989,0.530100342776823,0.522721450701697,0.050898416023288706
0.6789475138807238,0.6811600411305921,0.4126036829728624,0.5909037459947261,0.15441634684970465
0.6800689142204,0.463840892045942,0.4716046788362715,0.5385048283675379,0.12265953651815588
0.5404650345850098,0.5120227984842551,0.33686440715474025,0.46311741340800167,0.11025926895092462
0.41190530970201855,0.6822504817750855,0.240364676962015,0.444840156146373,0.22277633224056514
0.46818545170694686,0.5355839485693691,1.0482189383885678,0.6839961128882946,0.3172212781425299
0.26288060031219995,0.7236989005716641,0.44447432240661094,0.477017941096825,0.23212645648782895
0.8130468226316069,0.8022048173158708,0.625368413211443,0.7468733510529736,0.10536590866937118
0.5256744889687139,1.1378068132624204,0.6669149754855059,0.7767987592388801,0.3205188450938144
0.938435666873148,1.115502923380812,1.450114746420006,1.168017778891322,0.2598503947436818
1.6202351752808222,1.538608730498886,1.5292799784486477,1.562707961409452,0.05003790218979491
1.4524364600062867,1.465929741889967,1.6533664924965683,1.5239108981309408,0.11231464885942774
1.5682783248676235,2.1589030668260873,1.59820955097622,1.7751303142233104,0.3326937237224731
